,Answer,Type,Difficulty,Size,Questions,Flags
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 39. Draconian: During the pre-new economic policy reforms, the draconian policies effectively scared off foreign investors.
 (A) stringent
 (B) severe
 (C) harsh
 (D) atrophying",D,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 40. Boomerang: This strategy may help in the short run, but watch out, it may boomerang in the long run.
 (A) ricochet
 (B) recoil
 (C) fail
 (D) backfire",C,Vocab,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. Physical activity is key to good health. 
 b. For people with diabetes, exercise lowers blood sugar.
 c. A person with diabetes will experience the same benefits and enjoyment from exercise as anyone else. 
 d. Such benefits including weight control and psychological well-being.","a, c , d",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. Raj was the only son of wealthy parents. 
 b. His parents thoroughly pampered him.
 c. They catered for all his whims and fancies. 
 d. Raj soon turned out to be a spoilt brat.","b , c",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. Joe and Liza had been married for over a year. 
 b. After six months of living together, they realized that they did not agree with each other in several issues. 
 c. There was no compatibility among them. 
 d. They were advised to see a marriage counsellor.","b , c",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. Dubai has embraced western ways.
 b. The Islamic fundamentalists are enraged over this. 
 c. Dubai was once a haven of gold smugglers and pearl divers.
 d. It is racing to realize a vision of itself as the Singapore of the Middle East.", c,Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. It was a bright Sunday morning. 
 b. Sally suggested that we would go for a picnic.
 c. The children jumped in joy at the suggestion. 
 d. We went to the sea side for a picnic and had a glorious time","b , c",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. Today's competitive world gives rise for insecurity. 
 b. There is always someone out there to grab your job.
 c. So the one way to grab attention is to make yourself to look good. 
 d. The fastest way to be recognized is to have a pretty face.","a , c",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. We checked out of the hotel and went to the railway station. 
 b. On reaching the station we were told that the train was running late by two hours.
 c. Having nothing else to do we went to the nearest book stall.
 d. We browsed at some books and purchased some really good ones.","a , b",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. Nina always dreamt that one day she would become a famous athlete. 
 b. Her dreams were shattered the day she met with a accident. 
 c. She was admitted in a hospital. 
 d. On gaining consciousness she realized she could not move her right leg.","b , c",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. Music can be a unending source of happiness 
 b. It's hypnotic effect can fill us with visions of love and peace. 
 c. Music is said to enhance the power of our minds. 
 d. For me, music gives the strength to face the world.","a , b",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. Japanese schools teach some subjects miserably.
 b. One is English, who is taught almost entirely in Japanese. 
 c. English words are memorized as if they were chemistry symbols.
 d. As a result, the students who study the language for six years never learn to speak it..", b,Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. Anil will be completing his graduation this year.
 b. After graduation, he intends to going abroad to pursue a course in business management. 
 c. Anil's father is a shrewd businessman.
 d. He wants Anil to take over the family business of him.","b , d",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. Last Monday, I went to work as usual, trying to shrug of what felt like flu. 
 b. Soon I became so tried, so I had to take a break. 
 c. Overcome from exhaustion, I went back home.
 d. The doctor diagnosed it as flu.","a , b",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. When I entered the room, I saw Meena sitting all alone on the bed. 
 b. She was starting at space. 
 c. She had a dejected look in her face. 
 d. She was so engrossed in her thoughts that she did not notice my presence.","b , c",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. Steve Ross was a self-made man.
 b. He amassed lot of money by sheer dint of hard work and business acumen.
 c. His estate was worth of millions. 
 d. Unfortunately, he died a childless man.","a , c",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. Salil got engaged with Maya last week. 
 b. Salil and Maya had been in love since two years. 
 c. Initially Salil's parents did not approve of his marriage to Maya.
 d. They eventually gave in.","a , b",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. John obtained a post graduate degree in medicine this year.
 b. He was deeply interested on rural medicine. 
 c. Therefore, he established his clinic in a village. 
 d. Much of his patients were the elderly and the middle aged.","b , d",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. The Menons returned home last week after a short vacation. 
 b. For their horror, they found that their house had been burgled.
 c. Several valuables were found missing. 
 d. They immediately lodged complaint with the police.","b , d",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. Rani is a very gregarious person.
 b. She is always seen with the company of friends. 
 c. Unlike Rani her sister Asha is an introvert.
 d. She spends more of her time in the library rather than in the company of friends.","b , d",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. For many students, examinations are a great source of stress. 
 b. They can be mentally incapacitating and can drastically reduce the efficiency in performance. 
 c. Systematic approach right from the beginning of the academic year boost self confidence. 
 d. It helps one to perform well at the examination.","c , d",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. Most of us underestimate the calories we consume.
 b. A food diary helps keep track.
 c. Others use a diary as a tool to control the day's menu.
 d. By deciding what to eat when, a dieter can avoid the rushed decisions that will lead to overeating.", c,Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. My brother's job involves frequent transfers.
 b. He works for the Indian Air Force as a commercial pilot.
 c. He is been recently transferred to Mumbai.
 d. Earlier he was stationed in Port Blair.", c,Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. The true role of management is to make risk-taking possible.
 b. Executives can't order their staff to be creative.
 c. They have to provide the conditions where creativity flourish.
 d. Such conditions includes strong staff morale and the conviction that good work will be rewarded.","c , d",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. Ganga is the most revered river in India.
 b. The Ganga Mahotsav is held annually at Varanasi.
 c. Varanasi is one of the oldest living city in the world.
 d. Varanasi is full of activity throughout the year.","a , c",Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. Bangalore’s poor infrastructure is making life difficult.
 b. Frequent breakdown of power and water supply is a cause about concern.
 c. This is aggravated by an indifferent government.
 d. The government should take corrective measures immediately.", b,Grammar,,,,
"Direction: Identify the incorrect sentence or sentences. 
 a. I and Mini had gone out for shopping yesterday.
 b. The sky was already overcast when we left home.
 c. We were caught in a heavy downpour even before we had reached the shopping mall.
 d. With the result Mini is down with cold.","a , d",Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 The eighteenth-century German philosopher Immanuel Kant ______ the same freedom in actions that affect you.
 
 Options:
 (A) suggested that a reasonable ethical code could be determined by doing whatever you feel is reasonable provided you are prepared to allow others
 (B) suggested that a reasonable ethical code that could be determined by doing whatever you feel is reasonable provided you are prepared to allow others
 (C) suggested that a reasonable ethical code could be determined in doing whatever you feel is reasonable provided you are prepared to allow others
 (D) suggested that a reasonable ethical code could be determined by doing whatever you feel is reasonable provided you are prepared in allowing others",A,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 The upgradation of vehicular fuels, ______ is an important component of any strategy aimed at restricting vehicular pollution.
 
 Options:
 (A) which principally means reducing the amount of sulphur in diesel and cutting down at the level of aromatics in petrol
 (B) which principally means reducing in the amount of sulphur in in diesel and cutting down on the level of aromatics in petrol
 (C) which principally means reducing of the amount of sulphur in diesel and cutting down on the level of aromatics in petrol
 (D) which principally means reducing the amount of sulphur in diesel and cutting down on the level of aromatics in petrol",D,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 The extraordinary Jakarta summit on the tsunami disaster ______ from Indonesia to Somalia.
 
 Options:
 (A) have provided the launch pad for a massive, coordinated international relief effort to help the victims of Nature's fury across the Indian Ocean
 (B) has provided the launch pad for a massive, coordinated international relief effort to help the victims of Nature's fury across the Indian Ocean
 (C) has provided the launch pad for a massive, coordinated international relief effort to help the victims to Nature's fury across the Indian Ocean
 (D) has provided the launch pad for a massive, coordinated international relief effort to help the victims of Nature's fury across Indian Ocean",B,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 In the United States, ______ due to be adopted in December 2006, will make it unlawful for employers to discriminate on grounds of age.
 
 Options:
 (A) legislation prohibits discrimination against anyone over 40 and British firms will soon be subject to similar rules when the European Union Employment Directive
 (B) legislation prohibit discrimination against anyone over 40 and British firms will soon be subject to similar rules when the European Union Employment Directive
 (C) legislation prohibits discrimination against anyone over 40 and British firms will soon be subject to similar rules when European Union Employment Directive
 (D) legislation prohibits discrimination against anyone over 40 and British firms will soon be subject with similar rules when European Union Employment Directive",A,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 The much-debated question of employment guarantee ______ and thereby reducing under-nourishment can be supplemented by private income generated by employment, especially of very poor people who are ready to work for a low wage[cite: 444, 445].
 
 Options:
 (A) should be integrated to the issue of child under-nourishment because, what the schools do in providing food
 (B) should be integrated with the issue of child under-nourishment because what the schools do in providing food
 (C) should be integrated upon the issue of child under-nourishment because what the schools do in providing food
 (D) should be integrated on the issue of child under-nourishment because what the schools do in providing food",B,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 Government agencies, academia, and local communities ______ into a practical reality.
 
 Options:
 (A) should jointly develop integrated coastal zone management whom will help transform sustainable development from a desirable objective
 (B) should jointly develop integrated coastal zone management who will help transform sustainable development from a desirable objective
 (C) should jointly develop integrated coastal zone management which will help to transforming sustainable development from a desirable objective
 (D) should jointly develop integrated coastal zone management which will help transform sustainable development from a desirable objective",D,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 In a shrinking world, ______ a trivial pursuit; an indulgence that we allow ourselves in the name of distraction.
 
 Options:
 (A) increasingly drove by the laws of business and whose dynamics are governed by hegemonic politics, sports can sometimes seem like
 (B) increasingly driven by the laws of business and whose dynamics are governed by hegemonic politics, sports can sometimes seem like
 (C) increasingly driven with the laws of business and whose dynamics are governed by hegemonic politics, sports can sometimes seem like
 (D) increasingly driven by the laws of business and whose dynamics are governed by hegemonic politics, sports can sometimes seems like",B,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 With extensive desertification of the Afro-Asian land-mass, ______ in the 21st century.
 
 Options:
 (A) drinking water has become a most precious commodity and water management and water education have become vital issues
 (B) drinking water have become the most precious commodity and water management and water education has become vital issues
 (C) drinking water has become the most precious commodity and water management and water education have become vital issues
 (D) drinking water have become the most precious commodity and water management and water education have become vital issues",C,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 Amidst the hype ______ it is sometimes forgotten that the real breakthrough in the bilateral relationship is the ceasefire that has reigned along the line of control (LOC) in Kashmir since November 
 
 Options:
 (A) surrounding the composite dialogue process between India and Pakistan that has been on since the Islamabad summit of January 2004 
 (B) surrounding the composite dialogue process among India and Pakistan that has been on since the Islamabad summit of January 2004
 (C) surrounding the composite dialogue process between India and Pakistan that has been on from the Islamabad summit of January 2004
 (D) surrounds the composite dialogue process between India and Pakistan that has been on since the Islamabad summit of January 2004",A,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 Information and communication technologies is more than just the internet ______ educational videos and data.
 
 Options:
 (A) and encompass the traditional mass media such as radio, television and even the telephone, which can deliver
 (B) and encompasses the traditional mass media so as radio, television and even the telephone, which can deliver
 (C) and encompasses the traditional mass media such as radio, television and even the telephone, who can deliver
 (D) and encompasses the traditional mass media such as radio, television and even the telephone, which can deliver",D,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 Historians ______ and built some of the well-designed cities in the world during the Indus period.
 
 Options:
 (A) have little evidence to show that how a predominantly farming community in the Indian subcontinent took a giant leap forward in imagination
 (B) have little evidence to show how a predominantly farming community in the Indian subcontinent took a giant leap forward in imagination
 (C) have the little evidence to show how a predominantly farming community in the Indian subcontinent took a giant leap forward in imagination
 (D) have little evidence to show how a predominantly farming community on the Indian subcontinent took a giant leap forward in imagination",B,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 Regarded as ______ remains of a four-hectare township with thick fortifications.
 
 Options:
 (A) the oldest and continuously occupied city, Jericho, located near the Jordan river, has yielded
 (B) the oldest and continuously occupied city, Jericho, located near Jordan river, has yielded
 (C) the oldest and continuously occupied city, the Jericho, located near the Jordan river, has yielded
 (D) the oldest and continuously occupied city, Jericho, located near the Jordan river, have yielded",A,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 At a fundamental level, working with men and women ______ loses its inherent value.
 
 Options:
 (A) to reducing violence against women implies redefining the notion of power, so that violence as a way of maintaining control
 (B) to reduce violence against women implies redefining the notion of power, so that violence as a way of maintaining control
 (C) to reduce violence in women implies redefining the notion of power, so that violence as a way of maintaining control
 (D) to reduce violence at women implies redefining the notion of power, so that violence as a way of maintaining control",B,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 Men need to go through processes of introspection ______ before the concept of ""men as partners"" can truly be realised.
 
 Options:
 (A) on their notions of power and powerlessness, and their levels of comfort and discomfort over sharing power with women
 (B) for their notion of power and powerlessness, and their levels of comfort and discomfort over sharing power with women
 (C) of their notions of power and powerlessness, and their levels of comfort and discomfort upon sharing power with women
 (D) of their notions of power and powerlessness, and their levels of comfort and discomfort over sharing power with women",D,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 The tsunami onslaught ______ with nearly 1,000 boats damaged or reportedly missing in the high seas.
 
 Options:
 (A) across east coast has ravaged the fishing community and the seafood industry in Andhra Pradesh
 (B) across the east coast has ravaged the fishing community and the sea food industry in Andhra Pradesh
 (C) across the east coast have ravaged the fishing community and the seafood industry in Andhra Pradesh
 (D) across the east coast has ravaged the fishing community and the sea food industry to Andhra Pradesh",B,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 India's image makeover from ______ boosted the confidence of Indians abroad.
 
 Options:
 (A) a under-developed, over-populated country to potential, economic and political super-power seems to have
 (B) an under-developed, over-populated country to potential, economic and political super power seem to have
 (C) an under-developed over-populated country to a potential, economic and political super power seems to have
 (D) an under-developed over-populated country to a potential, economic and political super power seems to having",C,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 For communities descended ______ to an ancient civilisation can be an assertion against colonial history.
 
 Options:
 (A) of the indentured labour force sent to Mauritius and West-Indian countries by various colonial powers, tracing their roots
 (B) from the indentured labour force sent to the Mauritius and West Indian countries by various colonial powers, tracing their roots
 (C) from the indentured labour force sent to Mauritius and the West Indian countries by various colonial powers, tracing to their roots
 (D) from the indentured labour force sent to Mauritius and the West Indian countries by various colonial powers, tracing their roots",D,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 Cutting a swathe of death and destruction ______ and the biggest in 40 years, has plunged the whole region into shock and grief.
 
 Options:
 (A) across the coastal areas of half a dozen littoral countries of the Indian Ocean, the titanic tsunami rising from the fifth largest earthquake since the beginning of the 20th century
 (B) across the coastal areas of half dozen littoral countries of the Indian Ocean, the titanic tsunami rising from the fifth largest earthquake since the beginning of the 20th century
 (C) across the coastal areas of half a dozen littoral countries of Indian Ocean, the titanic tsunami rising from the fifth largest earthquake since the beginning of the 20th century
 (D) across the coastal areas of half a dozen littoral countries of the Indian Ocean, the titanic tsunami rising from the fifth largest earthquake during the beginning of the 20th century",A,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 In spite of the fact that our nation ______ the tsunami of 2004 will go down as an unprecedented display of nature's cruelty.
 
 Options:
 (A) has a record toll of over hundred thousand fatalities in earthquake in the past two centuries and a long history of cyclonic havoc
 (B) has a record toll of over a hundred thousand fatalities in earthquakes in the past two centuries and long history of cyclonic havoc
 (C) has a record toll of over a hundred thousand fatalities in earthquakes in the past two centuries and a long history of cyclonic havoc
 (D) have a record toll of over a hundred thousand fatalities in earthquakes in the past two centuries and a long history of cyclonic havoc",C,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 An on-line educational website with facilities for continuous chronological personalised electronic medical records, charts and e-consultation with their personal family physicians is now available ______ a life-long disorder like diabetes mellitus.
 
 Options:
 (A) to patients suffering with diabetes, the maintenance of which is the most important pre-requisite for proper control and management
 (B) to patients suffering from diabetes, the maintenance of which is the most important pre-requisite for proper control and management
 (C) for patients suffering from diabetes, the maintenance of what is the most important pre-requisite for proper control and management
 (D) for patients suffering from diabetes, the maintenance of which is most important pre-requisite for proper control and management",B,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 Stressing that cinema ______ that a new crop of film makers is concerned about environmental and other issues facing society.
 
 Options:
 (A) has a role that goes beyond providing mere entertainment, an eminent film director has appreciated the fact
 (B) is having a role that goes beyond providing mere entertainment, an eminent film director has appreciated the fact
 (C) has a role that goes beyond providing mere entertainment, a eminent film director has appreciated the fact
 (D) is having a role that goes beyond providing mere entertainment, a eminent film director has appreciated the fact",A,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 India has embarked on a multi-faceted proactivism premised ______ of its nuclear and great-power status.
 
 Options:
 (A) at a global strategic understanding with the US and on a drive towards seeking increasing acceptance
 (B) on a global strategic understanding with US and on a drive towards seeking increasing acceptance
 (C) on a global strategic understanding with the US and on a drive towards seeking increasing acceptance
 (D) at a global strategic understanding with US and on a drive towards seeking increasing acceptance",C,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 As the increased population of the globe has left little option for agricultural growth on land, ______
 
 Options:
 (A) the oceans has become a major source of food and are more likely to become so in future
 (B) the oceans have become a major source of food and are more likely to become so in future 
 (C) the oceans have become major source of food and are more likely to become so in future
 (D) the oceans have become a major source in food and are more likely to become so in future",B,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 The navaratna rings were the by-product of the Hindu discipline of astrology, where particular gemstones ______ ushering in great prosperity and peace of mind.
 
 Options:
 (A) were believed to have the power to alter the course of one's fate, cure diseases, and effect positive changes in one's life
 (B) were believed to have the power to alter the course of one's fate, cure diseases, and affect positive changes in one's life
 (C) were believed to have the power to alter the course of one's fate, cure diseases, and effect positive change in his life
 (D) was believed to have the power to alter the course of one's fate, cure diseases and effect positive change in one's life",A,Grammar,,,,
"Direction : The statement below has a part missing. Select the best option from the options given below the statement to make up the missing part.
 
 When people are reminded that they will be ______ a strong sense of responsibility as well.
 
 Options:
 (A) accountable to God for their actions, it helps to strengthening them a righteous self-consciousness and generates in them
 (B) accountable for God to their actions, it helps to strengthen in them a righteous self-consciousness and generates in them
 (C) accountable to God for their actions, it helps to strengthen in them a righteous self-consciousness and generate in therm
 (D) accountable to God for their actions, it helps to strengthen in them a righteous self-consciousness and generates in them",D,Grammar,,,,
"Direction : In the question below, four different ways of writing a sentence are indicated. Select the best way of writing the sentence.
 
 
 
 Options:
 (A) The crowd included some people dressed like ears of corn, marching from the steps of California's capital building onto the nearby convention centre, where delegates from more than 100 countries attended a conference on agricultural science and technology.
 (B) The crowd, including some, people dressed like ears of corn, had marched from the steps of California's capital building to the nearby convention centre, when delegates from more than 100 countries attended a conference on agricultural science and technology.
 (C) The crowd, including some people dressed as ears of corn, marched from the steps of California's capital building to the nearby convention centre, where delegates from more than 100 countries were attending a conference on agricultural science and technology.
 (D) The crowd, including some people having dressed as in ears of corn, marched from the steps of California's capital building to the nearby convention centre, where delegates from more than 100 countries were attending a conference on agricultural science and technology.",C,Grammar,,,,
"Direction : In the question below, four different ways of writing a sentence are indicated. Select the best way of writing the sentence.
 
 
 
 Options:
 (A) The President of America renewed his criticism of European nations on Monday for refusing to accept genetically modified foods but contended that the ban was contributing to famine in Africa.
 (B) The President of America having renewed his criticism of European nations on Monday for refusing to accept genetically modified foods and contended that the ban was contributing to famine in Africa.
 (C) The President of America renewing his criticism of European nations on Monday for refusing to accept genetically modified foods, was contending that the ban contributed towards famine in Africa.
 (D) The President of America renewed his criticism of European nations on Monday for refusing to accept genetically modified foods and contended the ban was contributing to famine in Africa.",D,Grammar,,,,
"Direction : In the question below, four different ways of writing a sentence are indicated. Select the best way of writing the sentence.
 
 
 
 Options:
 (A) The role of business applications will expand from serving as a tool to efficiently collect data and process enterprise transactions, to enabling enterprises to better use their skills, harness their intellectual capital and effectively perform in value networks.
 (B) The role of business applications will be expanding from serving as a tool to efficiently collect data and process enterprise transactions, enabling enterprises in better using their skill, harness their intellectual capital and effectively perform in value networks.
 (C) The role of business applications would expand from serving as a tool to efficiently collect data and process enterprise transactions, to enabling enterprises to better usage in their skills, harness their intellectual capital and effectively perform in value networks.
 (D) The role of business applications is going to expand from serving as a tool to efficiently collect data and process enterprise transactions, and enabling enterprises to use their skills better in harnessing their intellectual capital and effectively perform in value networks.",A,Grammar,,,,
"Direction : In the question below, four different ways of writing a sentence are indicated. Select the best way of writing the sentence.
 
 
 
 Options:
 (A) Most of the applications are used for security systems in automobiles and are increasingly in use for anti-skid braking, roll over systems, anti-theft systems, electronic car braking systems, and the like.
 (B) Most of the applications are used for security systems in automobiles and is increasingly in use for anti-skit braking, roll over systems, anti-theft systems, electronic car braking systems, like so many others.
 (C) Most of the applications are used for security systems in automobiles but are increasingly being used for anti-skid braking, roll over systems, anti-theft systems, electronic car braking systems, and like others.
 (D) Most of the applications are used for security systems in automobiles but is increasingly being used for anti-skid braking, roll over systems, anti-theft systems, electronic car braking systems and so many others.",A,Grammar,,,,
"Direction : In the question below, four different ways of writing a sentence are indicated. Select the best way of writing the sentence.
 
 
 
 Options:
 (A) In order to prepay a part of its costly multilateral debt, the government will be vetting a proposal to do a refinancing deal on the international loan market.
 (B) The government is vetting a proposal to do a refinancing deal on the international loan market to prepay a part of its costly multilateral debt.
 (C) The government is vetting a proposal to do a refinancing deal in the international loan market to prepay a part of its costly multilateral debt.
 (D) The government been vetting a proposal to do a refinancing deal in the international loan market with the intention to prepay a part of its costly multilateral debt.",C,Grammar,,,,
"Direction : In the question below, four different ways of writing a sentence are indicated. Select the best way of writing the sentence.
 
 
 
 Options:
 (A) Despite a sustained counter insurgency offensive by army, the police and the paramilitary forces since November 1990, the United Liberation Front of Asom, Ulfa, continues to strike at will.
 (B) Despite sustained counter insurgency offensive by the army, police and paramilitary forces since November 1990, the United Liberation Front of Asom, Ulfa, continues to strike at will.
 (C) Despite a sustained counter insurgency offensive by the army, the police and the paramilitary forces since November 1990, the United Liberation Front of Asom, Ulfa, continues to strike at will.
 (D) Despite a sustained counter insurgency offensive by the army, the police and the paramilitary forces, since November 1990 the United Liberation Front of Asom Ulfa continues to strike at their will.",C,Grammar,,,,
"Direction : In the question below, four different ways of writing a sentence are indicated. Select the best way of writing the sentence.
 
 
 
 Options:
 (A) Today no one who is part of urban affluent India doubts for a moment that quality private education comes at a price.
 (B) No one, today who is a part of urban affluent India doubts for a moment that quality private education comes at a price.
 (C) No one today, who is part of urban affluent India, doubts for a moment that quality private education comes through a price.
 (D) No one, today - who is part of urban affluent India doubt for a moment that quality private education come at a price.",B,Grammar,,,,
"Direction : In the question below, four different ways of writing a sentence are indicated. Select the best way of writing the sentence.
 
 
 
 Options:
 (A) While most countries have a multi- disciplinary approach to traffic planning and road design, which involves psychologists, engineers, doctors, sociologists and vehicle experts, traffic, in India is still a civil engineering issue.
 (B) Whereas in most countries traffic planning and road design is a multi-disciplinary approach involving psychologists, engineers, doctors, sociologists and vehicles experts while in India traffic is still a civil engineering issue.
 (C) While in India traffic is still a civil engineering issue, but most countries have a multidisciplinary approach to traffic planning and road design which involves psychologists, engineers, doctors, sociologists, and vehicle experts.
 (D) While most countries have a multi-disciplinary approach to traffic planning and road design, that is involving psychologists, engineers, doctors, sociologists and vehicle experts, traffic, in India is still a civil engineering issue.",A,Grammar,,,,
"Direction : In the question below, four different ways of writing a sentence are indicated. Select the best way of writing the sentence.
 
 
 
 Options:
 (A) Intellectuals some times say Western countries are hypocrites which extol free movement of goods and capital, but control free movement of people with visas.
 (B) Intellectuals sometimes say Western countries are hypocrites which extol free movement of goods and capital, but control free movement of people by visas.
 (C) Intellectuals say sometimes westerners are hypocrites who extol free movement of goods and capital, but control free movement of people through visas.
 (D) Intellectuals sometimes say Western countries are hypocrites who extol free movement of goods and capital, but control free movement of people through visas.",D,Grammar,,,,
"Direction : In the question below, four different ways of writing a sentence are indicated. Select the best way of writing the sentence.
 
 
 
 Options:
 (A) Politics in the Pacific island nation of Fiji have come a long way, with a Supreme Court ruling helping to heal the wounds inflicted by three coups since Fiji won independence from Britain in 
 (B) Politics in the Pacific island nation of Fiji has come a long way, with a Supreme Court ruling helping to heal the wounds inflicted by three coups since Fiji won independence from Britain in 
 (C) Politics in the Pacific island nation of Fiji have come a long way, with a Supreme Court ruling helping to heal the wounds inflicted with three coups since Fiji won independence from Britain in 
 (D) Politics in the Pacific island nation of Fiji has come a long way with a Supreme Court ruling helping to heal the wounds inflicted by three coups since Fiji won independence upon Britain in ",B,Grammar,,,,
"Direction : In the question below, four different ways of writing a sentence are indicated. Select the best way of writing the sentence.
 
 
 
 Options:
 (A) India is Russia's only partner with who it has no clash of interests and which could underpin many security arrangements crafted by Moscow.
 (B) India is only Russia's partner with which it has no clash of interests and which could underpin many security arrangements crafted by Moscow.
 (C) India is the only Russia's partner with which it has no clash of interests and which could underpin many security arrangements crafted by Moscow.
 (D) India is Russia's only partner with whom it has no clash of interests and which could underpin many security arrangements crafted by Moscow.",D,Grammar,,,,
"Direction : In the question below, four different ways of writing a sentence are indicated. Select the best way of writing the sentence.
 
 
 
 Options:
 (A) Today majority of communication in the business world are accomplished over e-mails.
 (B) A majority of communication in the business world today, is accomplished over e-mails.
 (C) A majority of communication in the business world today are accomplished over e-mails.
 (D) A majority of communications today in the business world are accomplished over e-mails.",B,Grammar,,,,
"Direction : In the question below, four different ways of writing a sentence are indicated. Select the best way of writing the sentence.
 
 
 
 Options:
 (A) Higher education in Britain is no longer an elitist idea or a purely intellectual pursuit, but has become closely linked with bread and butter issues as in much of the rest of the world.
 (B) Higher education in Britain is neither an elitist idea any longer or an intellectual pursuit, but has become closely linked with bread and butter issues as in much of the rest of the world.
 (C) Higher education in Britain no longer an elitist idea or a purely intellectual pursuit, but has become closely linked with bread and butter issues as in more of the rest of the world.
 (D) Higher education in Britain is not a elitist idea any longer or a purely intellectual pursuit, but has become closely linked with bread and butter issues as in much of the rest of the world.",A,Grammar,,,,
"Direction : In the question below, four different ways of writing a sentence are indicated. Select the best way of writing the sentence.
 
 
 
 Options:
 (A) Life is not any longer a struggle for those who can afford it today where material goods and comforts are concerned.
 (B) Today, for those who can afford it, life is no longer a struggle where material goods and comforts are concerned.
 (C) Today, for who can afford it, life is no longer a struggle where material goods and comforts are concerned.
 (D) Life, today is not a struggle for who can afford it, where material goods and comforts are concerned.",B,Grammar,,,,
