Passage,,,,,,Flags,,,Type
"670. Brown tides are growths of algae on the sea's surface that prevent sunlight from reaching marine plants below, thereby destroying not only the plants but also the shellfish that live off these plants. Biologists recently isolated a virus that, when added to seawater, kills the algae that cause brown tides. Adding large quantities of this virus to waters affected by brown tides will therefore make it possible to save the populations of shellfish that inhabit those waters.

Which of the following, if true, provides the most support for the conclusion of the argument?
A. When applied in large quantities, the virus not only kills the algae that cause brown tides but also many harmless kinds of algae.
B. Marine animals that prey on shellfish avoid areas of the sea in which brown tides are occurring.
C. The number of different kinds of viruses present in seawater is far greater than many marine biologists had, until recently, believed.
D. The presence of large quantities of the virus in seawater does not adversely affect the growth of marine plants.
E. The amount of the virus naturally present in seawater in which brown tides occur is neither significantly greater nor significantly less than the amount present in seawater in which brown tides do not occur.",CR,,,,,5,,,CR
"671. In persons with astigmatism, the clear outer layer of the eye is deformed in a way that impairs and sometimes distorts vision. The elongated figures in the paintings of El Greco (1541–1614) were so unusual that some critics sought to explain them by hypothesizing that, without knowing it, El Greco had an astigmatism that caused everything to appear to him in the distorted way that was characteristic of his painted figures.

The proposed explanation is most vulnerable to the criticism that it fails to
A. establish that during the period in which El Greco lived, there was any correction available to those who did realize their vision was distorted
B. provide evidence that astigmatism was common in the 1500s and 1600s
C. consider that the critics who proposed the explanation might have suffered from astigmatism
D. consider the effect of the hypothesized astigmatism on El Greco's perception of his own paintings
E. allow for the possibility that artists see the world differently than do nonartists",CR,,,,,5,,,CR
"672. Marketing executive for Magu Corporation: Whenever Magu opens a manufacturing facility in a new city, the company should sponsor, or make donations to, a number of nonprofit organizations in that city. Doing so would improve Magu's image in the community, and thus the money spent on such charitable ventures would lead to increased sales.

Which statement would, if true, point to the most serious weakness in the marketing executive's advice?
A. Magu sells its products internationally, so sales in any one city represent only a small portion of total revenue.
B. Spending on charitable ventures would require Magu to decrease direct advertisements, which are the most effective means of reaching its target customers.
C. If market conditions change, Magu may have to close any such facility or relocate it.
D. Some nonprofit organizations are poorly organized, so money donated to them would be of little benefit to the community.
E. If workers at the manufacturing facility believed their wages or working conditions were poor, their complaints would outweigh any good impressions generated by Magu's donations or sponsorships.",CR,,,,,5,,,CR
"673. In the last few years, plant scientists have been able to genetically engineer seeds to produce crops highly resistant to insect damage. Farmers growing crops with these seeds will be able to spend significantly less on pesticides. This cost reduction would more than make up for the higher cost of the genetically engineered seeds. Clearly, therefore, farmers who grow crops from genetically engineered seeds will be able to reduce their costs by using them.

Which of the following, if true, most weakens the argument?
A. Plant scientists have not yet developed insect-resistant strains of every crop that is currently grown commercially.
B. The cost of several commonly used pesticides is expected to rise in the next few years.
C. Crops grown from the genetically engineered seeds require significantly more fertilizer and water to grow well than do crops grown from nonengineered seeds.
D. In the future, the cost of genetically engineered seeds is likely to fall to the level of nonengineered seeds.
E. The crops that now require the greatest expenditure on pesticides are not the ones for which genetically engineered seeds will become available.",CR,,,,,5,,,CR
"674. Educational theorist: Recent editorials have called for limits on the amount of homework assigned to schoolchildren younger than 12. They point out that free-time activities play an important role in childhood development and that homework in large quantities can severely restrict children's free time, hindering their development. But the actual average homework time for children under 12—little more than 30 minutes per night—leaves plenty of free time. In reality, therefore, the editorials' rationale cannot justify the restriction they advocate.

Which of the following, if true, would most seriously call into question the educational theorist's conclusion?
A. Some teachers give as homework assignments work of a kind that research suggests is most effective educationally when done in class.
B. For children younger than 12, regularly doing homework in the first years of school has no proven academic value, but many educators believe that it fosters self-discipline and time management.
C. Some homework assignments are related to free-time activities that children engage in, such as reading or hobbies.
D. A substantial proportion of schoolchildren under 12, particularly those in their first few years of school, have less than 10 minutes of homework assigned per night.
E. Some free-time activities teach children skills or information that they later find useful in their schoolwork.",CR,,,,,5,,,CR
"675. Thyrian lawmaker: Thyria's Cheese Importation Board inspects all cheese shipments to Thyria and rejects shipments not meeting specified standards. Yet only 1 percent is ever rejected. Therefore, since the health consequences and associated economic costs of not rejecting that 1 percent are negligible, whereas the board's operating costs are considerable, for economic reasons alone the board should be disbanded.
Consultant: I disagree. The threat of having their shipments rejected deters many cheese exporters from shipping substandard product.

The consultant responds to the lawmaker's argument by
A. rejecting the lawmaker's argument while proposing that the standards according to which the board inspects imported cheese should be raised
B. providing evidence that the lawmaker's argument has significantly overestimated the cost of maintaining the board
C. objecting to the lawmaker's introducing into the discussion factors that are not strictly economic
D. pointing out a benefit of maintaining the board which the lawmaker's argument has failed to consider
E. shifting the discussion from the argument at hand to an attack on the integrity of the cheese inspectors",CR,,,,,5,,,CR
"676. The tulu, a popular ornamental plant, does not reproduce naturally and is only bred and sold by specialized horticultural companies. Unfortunately, the tulu is easily devastated by a contagious fungal rot. The government ministry plans to reassure worried gardeners by requiring all tulu plants to be tested for fungal rot before being sold. However, infected plants less than 30 weeks old have generally not built up enough fungal rot in their systems to be detected reliably. And many tulu plants are sold before they are 24 weeks old.

Which of the following, if performed by the government ministry, could logically be expected to overcome the problem with their plan to test for the fungal rot?
A. Releasing a general announcement that tulu plants less than 30 weeks old cannot be effectively tested for fungal rot
B. Requiring all tulu plants less than 30 weeks old to be labeled as such
C. Researching possible ways to test tulu plants less than 24 weeks old for fungal rot
D. Ensuring that tulu plants are not sold before they are 30 weeks old
E. Quarantining all tulu plants from horticultural companies at which any case of fungal rot has been detected until those tulu plants can be tested for fungal rot",CR,,,,,5,,,CR
"677. While many people think of genetic manipulation of food crops as being aimed at developing larger and larger plant varieties, some plant breeders have in fact concentrated on discovering or producing dwarf varieties, which are roughly half as tall as normal varieties.

Which of the following would, if true, most help to explain the strategy of the plant breeders referred to above?
A. Plant varieties used as food by some are used as ornamentals by others.
B. The wholesale prices of a given crop decrease as the supply of it increases.
C. Crops once produced exclusively for human consumption are often now used for animal feed.
D. Short plants are less vulnerable to strong wind and heavy rains.
E. Nations with large industrial sectors tend to consume more processed grains.",CR,,,,,5,,,CR
"678. Secret passwords are often used to control access to computers. When employees select their own passwords, they frequently choose such easily guessed passwords as their initials or birth dates. To improve security, employers should assign randomly generated passwords to employees rather than allowing employees to make up their own.

Which of the following, if true, most seriously undermines the conclusion drawn above?
A. If passwords are generated randomly, it is theoretically possible that employees will be assigned passwords that they might have selected on their own.
B. Randomly generated passwords are so difficult for employees to recall that they often record the passwords in places where the passwords could be easily seen by others.
C. Computer systems protected by passwords are designed to ignore commands that are entered by employees or others who use invalid passwords.
D. In general, the higher the level of security maintained at the computer system, the more difficult it is for unauthorized users to obtain access to the system.
E. Control of physical access to computers by the use of locked doors and guards should be used in addition to passwords in order to maintain security.",CR,,,,,5,,,CR
"679. The economy around Lake Paqua depends on fishing of the lake's landlocked salmon population. In recent years, scarcity of food for salmon there has caused a decline in both the number and the size of the adult salmon in the lake. As a result, the region's revenues from salmon fishing have declined significantly. To remedy this situation, officials plan to introduce shrimp, which can serve as a food source for adult salmon, into Lake Paqua.

Which of the following, if true, most seriously calls into question the plan's chances for success?
A. Salmon is not a popular food among residents of the Lake Paqua region.
B. Tourists coming to fish for sport generate more income for residents of the Lake Paqua region than does commercial fishing.
C. The shrimp to be introduced into Lake Paqua are of a variety that is too small to be harvested for human consumption.
D. The primary food for both shrimp and juvenile salmon is plankton, which is not abundant in Lake Paqua.
E. Fishing regulations prohibit people from keeping any salmon they have caught in Lake Paqua that are smaller than a certain minimum size.",CR,,,,,5,,,CR
"680. Airline representative: The percentage of flight delays caused by airline error decreased significantly this year. This indicates that airlines listened to complaints about preventable errors and addressed the problems. Although delays caused by weather and other uncontrollable factors will always be part of travel, preventable delays are clearly decreasing.

Which of the following most clearly points to a logical flaw in the representative's reasoning?
A. Airlines may be motivated by financial concerns to underreport the percentage of flight delays caused by airline error.
B. The delays caused by uncontrollable factors could have led to an increase in complaints to airlines.
C. Complaints may not be the most reliable measure of how many errors occurred in a given year.
D. Delays caused by weather and other uncontrollable factors could have increased dramatically during the year under discussion.
E. Airline customers might not believe that particular delays were caused by uncontrollable factors rather than airline error.",CR,,,,,5,,,CR
"681. Although the school would receive financial benefits if it had soft drink vending machines in the cafeteria, we should not allow them. Allowing soft drink machines there would not be in our students' interest. If our students start drinking more soft drinks, they will be less healthy.

The argument depends on which of the following?
A. If the soft drink vending machines were placed in the cafeteria, students would consume more soft drinks as a result.
B. The amount of soft drinks that most students at the school currently drink is not detrimental to their health.
C. Students are apt to be healthier if they do not drink soft drinks at all than if they just drink small amounts occasionally.
D. Students will not simply bring soft drinks from home if the soft drink vending machines are not placed in the cafeteria.
E. The school's primary concern should be to promote good health among its students.",CR,,,,,5,,,CR
"682. Many athletes inhale pure oxygen after exercise in an attempt to increase muscular reabsorption of oxygen. Measured continuously after exercise, however, the blood lactate levels of athletes who inhale pure oxygen are practically identical, on average, to those of athletes who breathe normal air. The lower the blood lactate level is, the higher the muscular reabsorption of oxygen is.

If the statements above are all true, they most strongly support which of the following conclusions?
A. Athletes' muscular reabsorption of oxygen is not increased when they inhale pure oxygen instead of normal air.
B. High blood lactate levels cannot be reduced.
C. Blood lactate levels are a poor measure of oxygen reabsorption by muscles.
D. The amount of oxygen reabsorbed by an athlete's muscles always remains constant.
E. The inhaling of pure oxygen has no legitimate role in athletics.",CR,,,,,5,,,CR
"683. Historian: Fifteenth-century advances in mapmaking contributed to the rise of modern nation-states. In medieval Europe (from the fifth to the fifteenth century), sovereignty centered in cities and towns and radiated outward, with boundaries often ambiguously defined. The conceptual shift toward the modern state began in the late fifteenth century, when mapmakers learned to reflect geography accurately by basing maps on latitude-longitude grids. By the mid-seventeenth century, nearly all maps showed boundary lines.

Which of the following would, if true, most strengthen the historian's reasoning?
A. Borders did not become codified in Europe until certain treaties were signed in the early nineteenth century.
B. During the medieval period, various authorities in Europe claimed power over collections of cities and towns, not contiguous territories.
C. Many members of the political elite collected maps as a hobby during the late sixteenth and early seventeenth centuries.
D. Seventeenth-century treatises and other sources of political authority describe areas of sovereignty rather than illustrate them using maps.
E. During the fifteenth century in Europe, mapmakers simplified the borders of sovereignty by drawing clear lines of demarcation between political powers.",CR,,,,,5,,,CR
"684. Sascha: The attempt to ban parliament's right to pass directed-spending bills—bills that contain provisions specifically funding the favorite projects of some powerful politicians—is antidemocratic. Our nation's constitution requires that money be drawn from our treasury only when so stipulated by laws passed by parliament, the branch of government most directly representative of the citizens. This requirement is based on the belief that exercising the power to spend public resources involves the ultimate exercise of state authority and that therefore _________.

Which of the following most logically completes Sascha's argument?
A. designating funding specifically for the favorite projects of some powerful politicians should be considered antidemocratic
B. the right to exercise such a power should belong exclusively to the branch of government most directly representative of the citizens
C. exercising the power to spend public resources is in most cases—but not all—protected by the constitution
D. modifications to any spending bills should be considered expenditures authorized by law
E. only officials who are motivated by concerns for reelection should retain that power",CR,,,,,5,,,CR
"685. Boreal owls range over a much larger area than do other owls of similar size. Scientists have hypothesized that it is scarcity of prey that leads the owls to range so widely. This hypothesis would be hard to confirm directly, since it is not possible to produce a sufficiently accurate count of the populations of small mammals inhabiting the forests where boreal owls live. Careful study of owl behavior has, however, shown that boreal owls do range over larger areas when they live in regions where food of the sort eaten by small mammals is comparatively sparse. This indicates that the scientists' hypothesis is not sheer speculation.

In the argument given, the two boldfaced portions play which of the following roles?
A. The first presents an explanatory hypothesis; the second states the main conclusion of the argument.
B. The first presents an explanatory hypothesis; the second presents evidence tending to support this hypothesis.
C. The first presents an explanatory hypothesis; the second presents evidence to support an alternative explanation.
D. The first describes a position that the argument opposes; the second presents evidence to undermine the support for the position being opposed.
E. The first describes a position that the argument opposes; the second states the main conclusion of the argument.",CR,,,,,5,,,CR
"686. Cognitive scientist: Using the pioneering work of comparative psychologist Gordon Gallup as a model, several studies have investigated animals' capacity for mirror self-recognition (MSR). Most animals exposed to a mirror respond only with social behavior, such as aggression. However, in the case of the great apes, repeated exposure to mirrors leads to self-directed behaviors, such as exploring the inside of the mouth, suggesting that these animals recognize the reflection as an image of self. The implication of these studies is that the great apes have a capacity for self-awareness unique among nonhuman species.

The cognitive scientist makes which of the following assumptions in the argument above?
A. Gallup's work has established that the great apes have a capacity for MSR unique among nonhuman species.
B. If an animal does not have the capacity for MSR, it does not have the capacity for self-awareness.
C. If a researcher exposes an animal to a mirror and that animal exhibits social behavior, that animal is incapable of being self-aware.
D. When exposed to a mirror, all animals display either social behavior or self-directed behavior.
E. Animals that do not exhibit MSR may demonstrate a capacity for self-awareness in other ways.",CR,,,,,5,,,CR
"687. Last year a record number of new manufacturing jobs were created. Will this year bring another record? Well, any new manufacturing job is created either within an existing company or by the start-up of a new company. Within existing firms, new jobs have been created this year at well below last year's record pace. At the same time, there is considerable evidence that the number of new companies starting up will be no higher this year than it was last year, and there is no reason to think that the new companies starting up this year will create more jobs per company than did last year's start-ups. So clearly, the number of new jobs created this year will fall short of last year's record.

In the argument given, the two portions in boldface play which of the following roles?
A. The first is a claim that the argument challenges; the second is an explicit assumption on which that challenge is based.
B. The first is a claim that the argument challenges; the second is a judgment advanced in support of the main conclusion of the argument.
C. The first provides evidence in support of the main conclusion of the argument; the second is an objection that has been raised against that main conclusion.
D. The first provides evidence in support of the main conclusion of the argument; the second is a judgment advanced in support of that main conclusion.
E. The first and the second are each claims that have been advanced in support of a position that the argument opposes.",CR,,,,,5,,,CR
"688. A study of ticket sales at a summer theater festival found that people who bought tickets to individual plays had a no-show rate of less than 1 percent, while those who paid in advance for all ten plays being performed that summer had a no-show rate of nearly 30 percent. This may be at least in part because the greater the awareness customers retain about the cost of an item, the more likely they are to use it.

Which of the following would, if true, best serve as an alternative explanation of the results of the study?
A. The price per ticket was slightly cheaper for those who bought all ten tickets in advance.
B. Many people who attended the theater festival believed strongly that they should support it financially.
C. Those who attended all ten plays became eligible for a partial refund.
D. Usually, people who bought tickets to individual plays did so immediately prior to each performance that they attended.
E. People who arrived just before the performance began could not be assured of obtaining seats in a preferred location.",CR,,,,,5,,,CR
"689. Although there is no record of poet Edmund Spenser's parentage, we do know that as a youth Spenser attended the Merchant Tailors' School in London for a period between 1560 and 1570. Records from this time indicate that the Merchant Tailors' Guild then had only three members named Spenser: Robert Spenser, listed as a gentleman; Nicholas Spenser, elected the Guild's Warden in 1568; and John Spenser, listed as a ""journeyman cloth-maker."" Of these, the last was likely the least affluent of the three—and most likely Edmund's father, since school accounting records list Edmund as a scholar who attended the school at a reduced fee.

Which of the following is an assumption on which the argument depends?
A. Anybody in sixteenth-century London who made clothing professionally would have had to be a member of the Merchant Tailors' Guild.
B. The fact that Edmund Spenser attended the Merchant Tailors' School did not necessarily mean that he planned to become a tailor.
C. No member of the Guild could become Guild warden in sixteenth-century London unless he was a gentleman.
D. Most of those whose fathers were members of the Merchant Tailors' Guild were students at the Merchant Tailors' School.
E. The Merchant Tailors' School did not reduce its fees for the children of the more affluent Guild members.",CR,,,,,5,,,CR
"690. Hea Sook: One should not readily believe urban legends. Most legends are propagated because the moral lesson underlying them supports a political agenda. People will repeat a tale if it fits their purpose. They may not deliberately spread untruths, but neither are they particularly motivated to investigate deeply to determine if the tale they are telling is true.
Kayla: But people would not repeat stories that they did not believe were true. Therefore, one can safely assume that if a story has been repeated by enough people, then it is more likely to be true.

Kayla's reply is most vulnerable to the criticism that it
A. does not specify how many people need to repeat a story before someone is justified in believing it
B. overstates the significance of political agendas in the retelling of stories
C. fails to address the claim that people will not verify the truth of a story that fits their purpose
D. implicitly supports the claim that the people repeating legends are not deliberately spreading untruths
E. cannot distinguish people's motivations for repeating urban legends from their motivations for repeating other types of story",CR,,,,,5,,,CR
"691. Rainwater contains hydrogen of a heavy form called deuterium. The deuterium content of wood reflects the deuterium content of rainwater available to trees during their growth. Wood from trees that grew between 16,000 and 24,000 years ago in North America contains significantly more deuterium than wood from trees growing today. But water trapped in several North American caves that formed during that same early period contains significantly less deuterium than rainwater in North America contains today.

Which of the following, if true, most helps to reconcile the two findings?
A. There is little deuterium in the North American caves other than the deuterium in the water trapped there.
B. Exposure to water after a tree has died does not change the deuterium content of the wood.
C. Industrialization in North America over the past 100 years has altered the deuterium content of rain.
D. Trees draw on shallow groundwater from rain that falls during their growth, whereas water trapped in caves may have fallen as rainwater thousands of years before the caves formed.
E. Wood with a high deuterium content is no more likely to remain preserved for long periods than is wood with a low deuterium content.",CR,,,,,5,,,CR
"692. Enforcement of local speed limits through police monitoring has proven unsuccessful in the town of Ardane. In many nearby towns, speed humps (raised areas of pavement placed across residential streets, about 300 feet apart) have reduced traffic speeds on residential streets by 20 to 25 percent. In order to reduce traffic speed and thereby enhance safety in residential neighborhoods, Ardane's transportation commission plans to install multiple speed humps in those neighborhoods.

Which of the following, if true, identifies a potentially serious drawback to the plan for installing speed humps in Ardane?
A. On residential streets without speed humps, many vehicles travel at speeds more than 25 percent above the posted speed limit.
B. Because of their high weight, emergency vehicles such as fire trucks and ambulances must slow almost to a stop at speed humps.
C. The residential speed limit in Ardane is higher than that of the nearby towns where speed humps were installed.
D. Motorists who are not familiar with the streets in Ardane's residential districts would be likely to encounter the speed humps unawares unless warned by signs and painted indicators.
E. Bicyclists generally prefer that speed humps be constructed so as to leave a space on the side of the road where bicycles can travel without going over the humps.",CR,,,,,5,,,CR
"693. Which of the choices most logically completes the following argument?

NowNews, although still the most popular magazine covering cultural events in Kalopolis, has recently suffered a significant drop in advertising revenue because of falling circulation. Many readers have begun buying a competing magazine that, at 50 cents per copy, costs less than NowNews at $1.50 per copy. In order to boost circulation and thus increase advertising revenue, NowNews's publisher has proposed making it available at no charge, but this proposal has a serious drawback, since __________.
A. those Kalopolis residents with the greatest interest in cultural events are regular readers of both magazines.
B. one reason NowNews's circulation fell was that its competitor's reporting on cultural events was superior.
C. the newsstands and stores that currently sell NowNews will no longer carry it if it is being given away for free.
D. at present, 10 percent of the total number of copies of each issue of NowNews are distributed free to students on college campuses in the Kalopolis area.
E. NowNews's competitor would begin to lose large amounts of money if it were forced to lower its cover price.",CR,,,,,5,,,CR
"694. Archaeologist: Researchers excavating a burial site in Cyprus found a feline skeleton lying near a human skeleton. Both skeletons were in the same sediment at the same depth and equally well-preserved, suggesting that the feline and human were buried together about 9,500 years ago. This shows that felines were domesticated around the time farming began, when they would have been useful in protecting stores of grain from mice.

Which of the following, if true, would most seriously weaken the archaeologist's argument?
A. Archaeologists have not found any remains of stores of grain in the immediate vicinity of the burial site.
B. The burial site in Cyprus is substantially older than any other known burial site in which a feline skeleton and a human skeleton appear to have been buried together.
C. Paintings found near the burial site seem to show people keeping felines as domestic companions but do not show felines hunting mice.
D. In Cyprus, there are many burial sites dating from around 9,500 years ago in which the remains of wild animals appear to have been buried alongside human remains.
E. Before felines were domesticated, early farmers had no effective way to protect stores of grain from mice.",CR,,,,,5,,,CR
"695. Farmer: Several people in the past few years have claimed to have seen a mountain lion in the suburban outskirts—the latest just last month—and, while mountain lions were thought to have been driven from this entire region about twenty years ago, there is no reason for the people who reported seeing a mountain lion to have deliberately concocted a false report. Therefore, local wildlife managers should begin to urgently address the mountain lion's presence.

Which of the following would, if true, most seriously weaken the farmer's argument?
A. Farmers in the suburban outskirts mostly raise cattle and hogs, which when fully grown are generally not attacked by mountain lions.
B. Mountain lions are dissimilar in size and color to other wild animals found near the suburban outskirts.
C. No person who claimed to have seen a mountain lion had anyone else with them at the purported sighting.
D. There have been no regional reports in the past year of mountain lions migrating to the area.
E. Recent surveys show that more than half of the people in the region report that they have never seen a mountain lion before.",CR,,,,,5,,,CR
"696. The heavy traffic in Masana is a growing drain on the city's economy—the clogging of the streets of the central business district alone cost the economy more than $1.2 billion over the past year. In order to address this problem, officials plan to introduce congestion pricing, by which drivers would pay to enter the city's most heavily trafficked areas during the busiest times of the day.

Which of the following, if true, would most strongly indicate that the plan will be a success?
A. Approximately one-fifth of the vehicles in the central business district are in transit from one side of the city to the other.
B. Planners expect that, without congestion pricing, traffic in Masana is likely to grow by 6 percent in the next five years.
C. In other urban areas, congestion pricing has strongly encouraged carpooling (sharing of rides by private commuters).
D. Several studies have shown that a reduction in traffic of 15 percent in Masana could result in 5,500 or more new jobs.
E. Over 30 percent of the vehicles in the city's center are occupied by more than one person.",CR,,,,,5,,,CR
"697. Economist: The most economically efficient way to reduce emissions of air pollutants is to tax them in proportion to the damage they are likely to cause. But in Country Y, many serious pollutants are untaxed and unregulated, and policy makers strongly oppose new taxes. Therefore, the best way to achieve a reduction in air pollutant emissions in Country Y would be to institute fixed upper limits on them.

Which of the following is an assumption of the economist's argument?
A. Policy makers in Country Y oppose all new taxes equally strongly, regardless of any benefits they may provide.
B. Country Y's air pollutant emissions would not fall significantly if they were taxed in proportion to the damage they are likely to cause.
C. Policy makers in Country Y strongly favor reductions in air pollutant emissions.
D. Country Y's policy makers believe that air pollutant emissions should be reduced with maximum economic efficiency.
E. Policy makers in Country Y do not oppose setting fixed upper limits on air pollutant emissions as strongly as they oppose new taxes.",CR,,,,,5,,,CR
"698. Humans get Lyme disease from infected ticks. Ticks get infected by feeding on animals with Lyme disease, but the ease of transmission from host animal to tick varies. With most species of host animal, transmission of Lyme disease to ticks is extremely rare, but white-footed mice are an exception, readily passing Lyme disease to ticks. And white-footed mouse populations greatly expand, becoming the main food source for ticks, in areas where biodiversity is in decline.

The information in the passage most strongly supports which of the following?
A. In areas where many humans are infected with Lyme disease, the proportion of ticks infected with Lyme disease is especially high.
B. Very few animals that live in areas where there are no white-footed mice are infected with Lyme disease.
C. Humans are less at risk of contracting Lyme disease in areas where biodiversity is high.
D. Ticks feed on white-footed mice only when other host species are not available to them.
E. The greater the biodiversity of an area, the more likely any given host animal in that area is to pass Lyme disease to ticks.",CR,,,,,5,,,CR
"699. Many industrialized nations are trying to reduce atmospheric concentrations of carbon dioxide, a gas released by the burning of fossil fuels. One proposal is to replace conventional cement, which is made with calcium carbonate, by a new ""eco-cement."" This new cement, made with magnesium carbonate, absorbs large amounts of carbon dioxide when exposed to the atmosphere. Therefore, using eco-cement for new concrete building projects will significantly help reduce atmospheric concentrations of carbon dioxide.

Which of the following, if true, most strengthens the argument?
A. The cost of magnesium carbonate, currently greater than the cost of calcium carbonate, probably will fall as more magnesium carbonate is used in cement manufacture.
B. Eco-cement is strengthened when absorbed carbon dioxide reacts with the cement.
C. Before the development of eco-cement, magnesium-based cement was considered too susceptible to water erosion to be of practical use.
D. The manufacture of eco-cement uses considerably less fossil fuel per unit of cement than the manufacture of conventional cement does.
E. Most building-industry groups are unaware of the development or availability of eco-cement.",CR,,,,,5,,,CR
"700. Professor: A marine biologist argues that transmission of sea lice from farm salmon to wild salmon is unlikely in the Broughton Archipelago, British Columbia, citing numerous studies suggesting that salinities less than 30 parts per thousand are unfavorable to sea-lice survival. The biologist concludes that the archipelago's 25–30 parts per thousand salinity range between March and June, the critical period for wild salmon migration, tends to suppress sea-lice proliferation. But a review of the literature shows that salinities of 25–30 parts per thousand in combination with British Columbia's cool spring temperatures favor the flourishing of sea lice.

In this passage, the professor attempts to undermine the biologist's argument by
A. pointing out that a condition claimed to be necessary for sea-lice survival is not sufficient for it
B. citing studies that suggest that salinity levels were not measured reliably
C. claiming that there is evidence showing that one of its premises is false
D. questioning the reliability of the biologist's scientific sources
E. showing that its conclusion is inconsistent with its premises",CR,,,,,5,,,CR
"701. Advertisement: When your car's engine is running at its normal operating temperature, any major brand of motor oil will protect it about as well as Tuff does. When the engine is cold, it is a different story: Tuff motor oil flows better at lower temperatures than its major competitors do. So, if you want your car's engine to have maximum protection, you should use Tuff.

Which of the following, if true, most strengthens the argument in the advertisement?
A. Tuff motor oil provides above-average protection for engines that happen to overheat.
B. Tuff motor oil is periodically supplied free of charge to automobile manufacturers to use in factory-new cars.
C. Tuff motor oil's share of the engine oil market peaked three years ago.
D. Tuff motor oil, like any motor oil, is thicker and flows less freely at cold temperatures than at hot temperatures.
E. Tuff motor oil is manufactured at only one refinery and shipped from there to all markets.",CR,,,,,5,,,CR
"702. Linguist: In English, the past is described as ""behind"" and the future ""ahead,"" whereas in Aymara, the past is ""ahead"" and the future ""behind."" Research indicates that English speakers sway backward when discussing the past and forward when discussing the future. Conversely, Aymara speakers gesture forward with their hands when discussing the past and backward when discussing the future. These bodily movements, therefore, suggest that the language one speaks affects how one mentally visualizes time.

The linguist's reasoning depends on assuming which of the following?
A. At least some Aymara speakers sway forward when discussing the past and backward when discussing the future.
B. Most people mentally visualize time as running either forward or backward.
C. Not all English and Aymara speakers tend to sway or gesture forward or backward when discussing the present.
D. How people move when discussing the future correlates to some extent with how they mentally visualize time.
E. The researchers also examined the movements of at least some speakers of languages other than English and Aymara discussing the past and the future.",CR,,,,,5,,,CR
"703. The Testament of William Thorpe was published around 1530 as an appendix to Thorpe's longer Examination. Many scholars, however, doubt the attribution of the Testament to Thorpe because, whereas the Examination is dated 1406, the Testament is dated 1460. One scholar has recently argued that the 1460 date be amended to 1409, based on the observation that when these numbers are expressed as Roman numerals, MCCCCLX and MCCCCIX, it becomes easy to see how the dates might have become confused through scribal error.

Which of the following, if true, would most support the scholar's hypothesis concerning the date of the Testament?
A. The sole evidence that historians have had that William Thorpe died no earlier than 1460 was the presumed date of publication of the Testament.
B. In the preface to the 1530 publication, the editor attributes both works to William Thorpe.
C. Few writers in fifteenth-century England marked dates in their works using only Roman numerals.
D. The Testament alludes to a date, ""Friday, September 20,"" as apparently contemporaneous with the writing of the Testament, and September 20 fell on a Friday in 1409 but not in 1460.
E. The Testament contains few references to historical events that occurred later than 1406.",CR,,,,,5,,,CR
"704. A prominent investor who holds a large stake in the Burton Tool Company has recently claimed that the company is mismanaged, citing as evidence the company's failure to slow down production in response to a recent rise in its inventory of finished products. It is doubtful whether an investor's sniping at management can ever be anything other than counterproductive, but in this case, it is clearly not justified. It is true that an increased inventory of finished products often indicates that production is outstripping demand, but in Burton's case it indicates no such thing. Rather, the increase in inventory is entirely attributable to products that have already been assigned to orders received from customers.

In the argument given, the two boldfaced portions play which of the following roles?
A. The first states a generalization that underlies the position that the argument as a whole opposes; the second provides evidence to show that the generalization does not apply in the case at issue.
B. The first states a generalization that underlies the position that the argument as a whole opposes; the second clarifies the meaning of a specific phrase as it is used in that generalization.
C. The first provides evidence to support the conclusion of the argument as a whole; the second is evidence that has been used to support the position that the argument as a whole opposes.
D. The first provides evidence to support the conclusion of the argument as a whole; the second states that conclusion.
E. The first and the second each provide evidence against the position that the argument as a whole opposes.",CR,,,,,5,,,CR
"705. To reduce productivity losses from employees calling in sick, Corporation X implemented a new policy requiring employees to come into work unless they were so sick that they had to go to a doctor. But a year after the policy was implemented, a study found that Corporation X's overall productivity losses due to reported employee illnesses had increased.

Which of the following, if true, would best explain why the policy produced the reverse of its intended effect?
A. After the policy was implemented, employees more frequently went to the doctor when they felt sick.
B. Before the policy was implemented, employees who were not sick at all often called in sick.
C. Employees coming into work when sick often infect many of their coworkers.
D. Unusually few employees became genuinely sick during the year after the policy was implemented.
E. There are many other factors besides employee illness that can adversely affect productivity.",CR,,,,,5,,,CR
"706. Advertising by mail has become much less effective, with fewer consumers responding. Because consumers are increasingly overwhelmed by the sheer amount of junk mail they receive, most discard almost all offers without considering them. Thus, an effective way for corporations to improve response rates would be to more carefully target the individuals to whom they mail advertising, thereby cutting down on the amount of junk mail each consumer receives.

Which of the following, if true, would most support the recommendation above?
A. There are cost-effective means by which corporations that currently advertise by mail could improve response rates.
B. Many successful corporations are already carefully targeting the individuals to whom they mail advertising.
C. Any consumer who, immediately after receiving an advertisement by mail, merely glances at it, is very likely to discard it.
D. Improvements in the quality of the advertising materials used in mail that is carefully targeted to individuals can improve the response rate for such mail.
E. Response rates to carefully targeted advertisements by mail are considerably higher, on average, than response rates to most other forms of advertising.",CR,,,,,5,,,CR
