,Answer,Type,,Size,Questions,Flags
"During the Cold War, amidst the threat of a nuclear attack, both the U.S. and the U.S.S.R. endeavored to prepare their populaces for the worst by offering survival tips. In order to give (i)________ to the efficacy of these strategies, the countries often downplayed the severity of a post-nuclear war scenario, not wanting a potential panic on their hands. It was therefore necessary for the countries to hire physicists who were (ii)________ in this deception to write informational pamphlets about nuclear fallout.

A. credence           D. spurious
B. gravity            E. particulate
C. benignity          F. complicit","A,F",Two Blank,,,,6
"(i) __________ comprehension of the character of Italian wine is impeded not only by labyrinthine complexities of vineyards and varietals, but also by fluctuations in environmental conditions from year to year, which render even the most reliable vintages subject to (ii) ___________.

A. An exhaustive            D. efficient taxonomy
B. A futile                 E. remarkable variance
C. An irredeemable          F. mitigating circumstances","A,E",Two Blank,,,,6
"Just as Philip K. Dick’s acclaimed science-fiction shows his gift for dystopian fantasy, so too his early efforts at mainstream novels (i) _________ his ability to represent the more (ii) ________ world.

A. attest to          D. ebullient
B. belie              E. quotidian
C. gainsay            F. fantastical","A,E",Two Blank,,,,6
"In small farming communities, accident victims rarely sue or demand compensation: transforming a personal injury into a (i) _____ someone else is viewed as an attempt to (ii) _____ responsibility for one's own actions.

A. claim against               D. assume
B. conspiracy against          E. elude
C. boon for                    F. proclaim","A,E",Two Blank,,,,6
"This question is part of Princeton Review 1014, Practice Questions for the New GRE Verbal Question Directory
Wealth and technology wrought by industrialization gave nations in the northern hemisphere strategic ____(i)____. This included sophisticated weaponry that could easily overpower the more ____(ii)____ arms held by the countries of the southern hemisphere.

A. adoration            D. intricate
B. advantage            E. perilous
C. consequence          F. rudimentary","B,F",Two Blank,,,,6
"Many industries are so (i) _____ by the impact of government sanctions, equipment failure, and foreign competition that they are beginning to rely on industrial psychologists to(ii) _____ what remains of employee morale.

A. overruled            D. determined
B. beleaguered          E. undermine
C. encouraged           F. salvage","B,F",Two Blank,,,,6
"Incensed, and perhaps spooked, by the implications of the bureau’s purportedly (i) _________ inquisitions, the Hollywood film director shuttered his studios, suspended production of numerous projects, and (ii) _________ with his wife to Europe.

A. suspicious          D. immigrated
B. benign              E. absconded
C. risqué              F. pandered","B,E",Two Blank,,,,6
"The chief flaw of the work is that it dwells too long on matters that are (i) _____ to its main subject, leaving (ii) _____ space for treatment of the heart of the topic.

A. germane            D. scant
B. integral           E. equivalent
C. ancillary          F. compensatory","C,D",Two Blank,,,,6
"In the last quarter, China’s economy shrank, ending four decades of uninterrupted growth that fuelled the country’s economic rise to be second only to the United States. Nevertheless, the pandemic has crippled the global economy, creating external pressure on China. It has raised the specter of a looming unemployment crisis in China that is being (i) ________ by what analysts said is a skill (ii) _______ in the job market that has developed over more than a decade.

A. exacerbated                       D. mismatch
B. overloaded                        E. clash
C. mitigated only partially          F. crookedeness
Source: Carcass","A,D",Two Blank,,,,6
"Frederick the Great of Prussia was known for his (i) _________ under fire during his military victories; however, when confronting issues of domestic policy, this equilibrium sometimes failed him. He was often (ii) _________ with his ministers, who never knew when they might be subjected to one of his tirades.

A. intrepidity          D. fascist
B. cruelty              E. mercurial
C. sangfroid            F. vainglorious","C,E",Two Blank,,,,6
"The property, hidden by overgrown plants, had not only fallen into (i) _________, but appeared positively (ii) _________ by vermin.

A. misanthropy          D. overrun
B. desuetude            E. outdone
C. debauchment","B,D",Two Blank,,,,6
"The Paris Commune was a government that ruled France for about two months in 1871; despite its (i) _________ reign, it was at the time (ii) _________ as a sign of the emergence of a powerful working class.

A. equivocal           D. discounted
B. ephemeral           E. recanted
C. omnipotent          F. heralded","B,F",Two Blank,,,,6
"The (i) _________ child approached the diving board; (ii) _________ water in the first place, he found the prospect of jumping into it from some height even more frightening.

A. tremulous           D. beguiled by
B. coltish             E. chary of
C. cumbersome","A,E",Two Blank,,,,6
"Although they had never met, the two writers felt they were of one mind, each (i) _________ anticipating the contents of the other’s letters; never had two intellectuals been more (ii) _________.

A. ominously                  D. providential
B. anachronistically          E. shrewd
C. presciently                F. simpatico","C,F",Two Blank,,,,6
"The elderly woman was (i) _________ to have returned to her the ring that she had lost fifty years before in the (ii) _________ waters of the Mississippi River.

A. dumbfounded          D. turbid
B. addlepated           E. turgid
C. enervated            F. tepid","A,D",Two Blank,,,,6
"That the student’s progress report highlighted his (i)___________nature failed to draw much ire from his parents, for, despite his habitual lateness, his grade point average was (ii)___________.

A. dilatory               D. middling
B. lackadaisical          E. exemplary
C. irreverent             F. profound","A,E",Two Blank,,,,6
"Given just how (i)________ the scope of the redevelopment project is, it should come as no surprise that several of the project’s leaders have failed to grasp the challenges involved. Despite that reality, leaders persist in adding on new wings and complexities that are perceived as (ii)________ to those who actually comprehend the enormity of the undertaking.

A. immaterial          D. quixotic
B. dire                E. thorough
C. weighty             F. intricate","C,D",Two Blank,,,,6
"The (i)___________manner by which the poet conducted his personal life lay in sharp contrast to his public persona: on a brightly lit stage, in front of an appreciative crowd, he displayed (ii)___________that cheered even the gloomiest souls.

A. methodical          D. a despondency
B. morose              E. an enormity
C. meagerness          F. a jocundity","B,F",Two Blank,,,,6
"In prioritizing efficiency, modern society downplays (i) ______ in favor of an all-consuming (ii) _______

A. idealism                D. putrefaction
B. ambition                E. adamancy
C. evenhandedness          F. pragmatism","A,F",Two Blank,,,,6
"If impact on one’s contemporaries is the test of (i) _________, Flann O’Brien’s The Third Policeman cannot be said to be among the most significant postmodern novels, as it went unpublished and unread for twenty-seven years. The literary theorist Keith Hopper, though, appeals to standards other than (ii) _________ when he argues persuasively that The Third Policeman is among the most important of early postmodern works, not least because of its deep subversion of both enlightenment and modern traditions in literature.

A. eminence             D. currency
B. modishness           E. influence
C. conversance","A,E",Two Blank,,,,6
"Although there was considerable (i) _______ among the members of the panel as to the qualities essential for a champion, Sugar Ray Robinson was (ii) _______ voted the greatest fighter of all time.

A. discourse             D. characteristically
B. disagreement          E. overwhelmingly
C. research              F. presumably","B,E",Two Blank,,,,6
"The Atrahasis text returns repeatedly to the division of the cosmos into three parts given over to different gods. Anu receives (i) ___________ over the sky, Enlil governs the wind and Enki rules the waves. Burkert argues that Poseidon’s speech in the Iliad on the division of the cosmos between the three chief male deities is so similar to the system in the Atrahasis that Eastern tradition must have (ii) __________ the Greek one.

A. counterfactual          D. influenced
B. dominion                E. stymied
C. vivacious               F. evaded","B,D",Two Blank,,,,6
"It is unsurprising that the recent (i)___________of historical novels is due to the fragmenting of some of our traditional historical narratives. New documents have acted as amplifiers for heretofore unheard voices, and many authors have (ii)___________the opportunity to turn a light toward some of the darker corners of the past.

A. want          D. forsaken
B. rash          E. misapprehended
C. void          F. recognized","B,F",Two Blank,,,,6
"The earth is a planet bathed in light; it is therefore (i) __________ that many of the living organisms that have evolved on the earth have (ii) __________ the biologically advantageous capacity to trap light energy.

A. anomalous             D. encapsulated
B. unsurprising          E. divested
C. problematic           F. developed","B,F",Two Blank,,,,6
"Before the inflation (i) _______ one could have had a complete meal in a restaurant for five dollars, including the tip, whereas today, a hot dog coffee, and dessert would (ii) _______ add up to two or three times that much.

A. spiral                D. incorrigible
B. promulgation          E. indubitably
C. criteria              F. conditionally","A,E",Two Blank,,,,6
"Though Socrates was (i) _______ by his students who found truth in his teachings, his philosophy constituted a threat to the existing government. Consequently, without the extreme position of completely destroying Socrates' position and philosophy, angry officials had sought to (ii) _______ the value of Socrates' premises.

A. revered           D. challenge
B. slighted          E. undermine
C. vilified          F. acknowledge","A,E",Two Blank,,,,6
"In assaying the quality of a high school’s academic curriculum, it has become commonplace and even (i)___________to discredit the people who argue in favor of more progressive subjects. Indeed, those who most (ii)___________criticize “new-age” administrators are often the most heralded among their peers.

A. fortuitous           D. incisively
B. outmoded             E. lamely
C. fashionable          F. jocosely","C,D",Two Blank,,,,6
"(i) ________________ his contemporaries’ dismissal of his (ii) ________________ approach, Barry continued implementing the effective but unconventional shooting strategy.

A. incensed by             D. cantankerous
B. perpetuated by          E. inchoate
C. nonplussed by           F. unorthodox","C,F",Two Blank,,,,6
"This question is part of Princeton Review 1014, Practice Questions for the New GRE Verbal Question Directory
During training to handle ____(i)____ arguments, the students on the debate team practiced techniques for quickly coming up with remarks that were ____(ii)____ even when they might know very little about the topic and would have only a few minutes to prepare.

A. spurious                D. sanctimonious
B. extemporaneous          E. germane
C. contentious             F. seditious","B,E",Two Blank,,,,6
"The (i)___________amount of evidence connecting mental and physical health makes it all the more (ii)___________that most American physicians have, thus far, failed to factor this correlation into their instructions to patients. In contrast, practitioners of Eastern medicine have long prescribed treatments for both mind and body.

A. mediocre              D. benign
B. overwhelming          E. adamant
C. indistinct            F. stupefying","B,F",Two Blank,,,,6
"In the convict’s case, the axiom that “Still waters run deep” finds (i) __________: his apparent façade of (ii) ________________ should not imply a lack of remorse.

A. credence            D. contrition
B. antagonism          E. bemusement
C. ambiguity           F. stoicism","A,F",Two Blank,,,,6
"It is (i) ______ that the short story, regardless of its acclaim amongst certain members of the literati, has (ii) ______ amongst the public— all the more so because the novel, in some ways an inherently more demanding form, continues to be popular amongst lay readers who apparently subscribe to the trite credo that bigger is better.

A. aunsurprising          D. languished
B. encouraging            E. burgeoned
C. telling                F. imploded","C,D",Two Blank,,,,6
"The characteristic (i)___________of Victorian homes lies in stark contrast to the more modern style of houses designed recently: today’s architects are often utilitarian, discarding any architectural embellishments to the point that their style could almost be described as (ii)___________.

A. ornateness             D. ascetic
B. blandishments          E. concomitant
C. austerity              F. labyrinthine","A,D",Two Blank,,,,6
"I loved the way the movie conveyed its themes with (i)___________, but most critics argued that its subtleties would have been better portrayed in a more (ii)___________way, so that its powerful message would be accessible to more people.

A. gallantry          D. maladroit
B. vigor              E. circuitous
C. nicety             F. forthright","C,F",Two Blank,,,,6
"Tired of walking for miles and miles and weary from the heat of the desert, the messenger  felt he could not go on any further; nonetheless, he (i) _______ and (ii) _______ only once he  had reached his destination.

A. slept for a while          D. continued his journey
B. soldiered on               E. refused to give up
C. took a break               F. sat down the rest
Aristotle","B,F",Two Blank,,,,6
"That early factory owners extended benefits to female workers (i)___________the theory that gender equality and the industrial revolution were two movements with (ii)___________aims.

A. bolstered            D. precarious
B. cheapened            E. preternatural
C. adulterated          F. complementary","A,F",Two Blank,,,,6
"The Johnsons were not known for their (i)____________ ; at the very least, none of the family members was fearful of (ii)____________ , of appearing or acting differently from other people.

A. candor              D. pettiness
B. vulgarity           E. eccentricity
C. conformity          F. complaisance","C,E",Two Blank,,,,6
"The ability to read body language is very important because it is easier to convey emotion  ____(i)_____ than with words. In fact, a lot of experts believe that words are often  ____  (ii)_____ tools for describing feelings.

A. emotionally              D. effective
B. physically               E. confusing
C. surreptitiously          F. clumsy
Aristotle Prep.","B,F",Two Blank,,,,6
"The fact that the average life expectancy ten thousand years ago was so much shorter than it is now is often (i) ________ as evidence supporting the notion that the world always improves with time. However, if you (ii) _________ for the fact that most children in that epoch died in childbirth, life expectancy for those who survived birth was nearly the same then as it is now.

A. cited                D. prepare
B. disregarded          E. read
C. embodied             F. correct","A,F",Two Blank,,,,6
"Her grandparents valued seemliness above all else, and were (i) _________ at her incorrigibly (ii) _________ behavior.

A. loquacious          D. mutinous
B. agog                E. indelicate
C. nonchalant          F. tortuous","B,E",Two Blank,,,,6
"Emerson emphasized the distinction between (i) ________________ and obsession. While he believed that the scholarly life afforded its adherents a fresh perspective, he warned against the perils of becoming (ii) ________________ such a pursuit.


erudition
adept at
consummation
consumed with
misanthropy
inured to
","A,E",Two Blank,,,,6
"This question is part of Princeton Review 1014, Practice Questions for the New GRE Verbal Question Directory
While the ____(i)____ structures of Lego projects are often impressive, it’s the internal ____(ii)____ such as flower pots, sink fixtures, and working windows that make them truly magical.

A. august              D. minutiae
B. external            E. stratagems
C. incidental          F. proboscises","B,D",Two Blank,,,,6
"During dinner, the mariachi band played with such (i)_______ that the captivated patrons were unperturbed by the restaurant’s sluggish service; after the performance, both diners and members of the waitstaff stopped to (ii)_______ the young musicians’ skills.


finesse
bemuse
kismet
excoriate
imbroglio
extol
","A,F",Two Blank,,,,6
"Although it was not the university’s policy to (i) _________ the authority of its faculty, the president felt that the professor’s comments regarding affirmative action could not remain (ii) _________.


defend
unavailed
ruminate
unchallenged
undermine
averred
","C,E",Two Blank,,,,6
"The  (i) _______ gave such an impassioned speech that even the most forlorn members of the crowd were briefly moved to (ii) _______ .


orator
despair
miscreant
duress
interloper
ebullience
","A,F",Two Blank,,,,6
"This question is a part of The 5 lb. Book of GRE Practice Problems (2nd Ed.) - VERBAL
Jeremy was not one to (i) _________ his success, let alone talk much at all, so his family was shocked when they finally discovered that their (ii) _________ son was a Rhodes Scholar.

A. demarcate          D. improvident
B. whitewash          E. taciturn
C. trumpet            F. dissolute","C,E",Two Blank,,,,6
"The reclassification of the solar system that demoted Pluto to a “dwarf planet” did not go (i) _________, for several hundred indignant astronomers petitioned the International Astronomical Union to (ii) ________ its decision.

A. astray               D. reconsider
B. uncontested          E. initiate
C. unrewarded           F. promulgate","B,D",Two Blank,,,,6
"Despite the threat of sanctions from numerous other countries, the (i) ______ nation has repeatedly ordered its armies to (ii) ______ the borders of the disputed territory.

A. desultory             D. breach
B. parsimonious          E. circumnavigate
C. truculent             F. circumvent","C,D",Two Blank,,,,6
"Scientists have long (i) ______ that there are oceans of liquid water beneath the surface of Europa, one of Jupiter’s largest moons; if such (ii) ______seas do in fact exist, then this satellite may prove to be the most likely location for extraterrestrial life in our solar system.

A. postulated          D. embryonic
B. refuted             E. pestilential
C. overlooked          F. subterranean","A,F",Two Blank,,,,6
"For the people of ancient cultures who resided in desert climates, laws of hospitality dictated that (i) ______ must be welcomed as friends in the homes of their hosts; this code of conduct, typically grounded in religious belief, was considered (ii) ______ as it ensured basic survival for those who were traveling through the harsh, arid environment.

A. adversaries          D. discretionary
B. sojourners           E. sacrosant
C. occupants            F. injudicious","B,E",Two Blank,,,,6
"While far from the bane that some scholars have declared them to be, (i) _________ versions of novels and essays do indeed excise essential elements; students would have to supplement their reading with (ii) _________ sources to fully understand the intent of the original.

A. annotated          D. complementary
B. abridged           E. complimentary
C. antedated          F. compelling","B,D",Two Blank,,,,6
"A rigid and conventional thinker, he lacked both the (i) _______ to adapt to changing conditions and the (ii) ________ to be innovative.

A. volatility           D. creativity
B. refinement           E. discipline
C. flexibility          F. impertinence","C,D",Two Blank,,,,6
"Breaking with established musical traditions, Stravinsky was (i) ___________ composer whose (ii) _______ works infuriated the traditionalists of his day.

A. a derivative                D. hackneyed
B. an uncontroversial          E. heterodox
C. an iconoclastic             F. euphonious","C,E",Two Blank,,,,6
"A full account of the complexities of sleep, sought after by scientists, philosophers, and mystics for millennia, continues to elude us. That we are still so ignorant about a topic so (i) _________ to our daily lives is at once fascinating and (ii) _________.
Blank i
Blank ii

A. mysterious          D. deeply humbling
B. obscure             E. fully impenetrable
C. pertinent           F. totally blatant","C,D",Two Blank,,,,6
"Added to the (i) ____________ with which the clerk seems to treat his clients is what appears to be a more general lack of respect for his office; he seems to treat the whole thing as if it were some grand (ii) _______.

A. casual nonchalance               D. gesture
B. profound meticulousness          E. farce
C. idle envy                        F. tirade","A,E",Two Blank,,,,6
"The silent-film pioneer Harold Lloyd made a virtue of the (i) _________ limits of his day, playing men so (ii) _________ it was easy to imagine it was the character rather than the medium who lacked a voice.

A. artistic            D. avant-garde
B. commercial          E. diffident
C. technical           F. reluctant","C,E",Two Blank,,,,6
"The captain (i) ___________ (ii) ___________ for as long as he could, but eventually the crew became frustrated with the small portions of mead and the dearth of plunder, and decided to take matters into their own hands.
Blank i
Blank ii

A. dissuaded            D. sea change
B. warded off           E. mutiny
C. depreciated          F. putsch","B,E",Two Blank,,,,6
"Some have argued that people who work in the service industry experience subtle psychological damage each time they (i) __________ their true emotions in order to put on a smile for the customer. Unfortunately, such efforts are (ii) ___________ of the job, as no one wants to be served by a weepy waiter or an irate flight attendant.

A. masquerade          D. the apex
B. simulate            E. the conceit
C. mask                F. part  and parcel","C,F",Two Blank,,,,6
"In recent recessions economists have noted (i) ________ known as a jobless recovery. A comparison of data shows that the economy begins to grow before the number of jobs increases. This is $a(n)$ (ii) ________ divergence from previous recoveries.

A. a phenomenon          D. imperceptible
B. an episode            E. precise
C. an omen               F. pronounced","A,F",Two Blank,,,,6
"Motivated by the (i) ________ national debt, lawmakers after years of discussion, agreed to eliminate earmarks for local programs from the budget. The consequences touched a (ii) ________ of projects from sewer treatment plants to widening of roadways.

A. burgeoning          D. panoply
B. emerging            E. plethora
C. sprouting           F. diversity","A,F",Two Blank,,,,6
"By (i) ________ all responsibility for the matter, she placed the (ii) ________ squarely on my shoulders.

A. vacillating            D. recompense
B. relinquishing          E. onus
C. repealing              F. surplus","B,E",Two Blank,,,,6
"The report, (i) _____ from the company’s own internal documents, revealed that its network was in fact not (ii) _____.

A. coerced           D. vulnerable
B. gleaned           E. implacable
C. redacted          F. impregnable","B,F",Two Blank,,,,6
"The report, (i) _____ from the company’s own internal documents, revealed that its network was in fact not (ii) _____.

A. coerced           D. vulnerable
B. gleaned           E. implacable
C. redacted          F. impregnable","B,F",Two Blank,,,,6
"Many observers of the trial believed that the judge’s (i) _____of the prosecutor for misconduct, after which the prosecutor appeared despondent, ultimately led to the defendant’s (ii) _____.

A. adjudication          D. conviction
B. excoriation           E. deposition
C. derogation            F. exoneration","B,F",Two Blank,,,,6
"Many observers of the trial believed that the judge’s (i) _____of the prosecutor for misconduct, after which the prosecutor appeared despondent, ultimately led to the defendant’s (ii) _____.

A. adjudication          D. conviction
B. excoriation           E. deposition
C. derogation            F. exoneration","B,F",Two Blank,,,,6
"At one end of the spectrum is Van Gogh's (i) ________ life driven by the demons of madness and at the other end is Monet's (ii) ________ life in his beloved garden at Giverny.

A. turbulent           D. stoical
B. rowdy               E. tranquil
C. boisterous          F. bucolic","A,E",Two Blank,,,,6
"Although dismayed by the pejorative comments made about her inappropriate dress at the diplomatic function, Judy (i) _____ her tears and showed only the most calm and (ii) _____ visage to her critics.

A. suppressed            D. incensed
B. monitored             E. articulate
C. succumbed to          F. placid","A,F",Two Blank,,,,6
"Although she admitted that her airport expansion plan had recently collapsed, the governor  (i)_____ the significance of the failure, pointing out that competing economic development  proposals are now more (ii)_____.

A. minimized             D. tenuous
B. touted                E. complicated
C. acknowledged          F. important","A,D",Two Blank,,,,6
"In discussing the vanishing ecosystem of the Grand Canyon, the speaker spoke (i) ________ and passionately about his subject. It was obvious that the (ii) ________ of the natural environment caused him grave concern.

A. eloquently           D. mutilation
B. emotionally          E. reparation
C. prominently          F. destruction","A,F",Two Blank,,,,6
"In 1961, putting a man on the moon by 1970 seemed not only (i) ________ , but also not (ii) _______ in the time frame.

A. improbable          D. serviceable
B. unusual             E. feasible
C. fortuitous          F. durable","A,E",Two Blank,,,,6
"Though (i) ________ , the conclusions are based on actual economic activities as surveyed by a(n) (ii) ________ outside research team.

A. certainly credible             D. impartial
B. actually impervious            E. interested
C. seemingly implausible          F. nonpartisan","C,D",Two Blank,,,,6
"Although the scientific evidence for human activity as the cause of climate change appears (i) ________ , many remain (ii) ________ that it's simply part of the natural climate cycle. One wonders in that case if they have considered the possibility of an Ice Age.

A. urgent                  D. implacable
B. irrefutable             E. inflexible
C. uncontrollable          F. adamant","A,F",Two Blank,,,,6
"The playwright created atmosphere in part through the (i) ________ afternoon on which he set the scene. The cloying humidity seemed at once to (ii) ________ the characters' physical energy and play devil's advocate to their sense of morality.

A. sultry                 D. sap
B. unsettled              E. beguile
C. bone-chilling          F. intensify","A,D",Two Blank,,,,6
"Garraty states that the problems faced by private colleges in the 1820 s and 1830 s were of their own making to a degree. Many cities and towns wanted the (i) ________ of hosting a college, but the supply of colleges soon (ii)
________ the demand, that is, the number of potential students.

A. honor               D. outperformed
B. admiration          E. outstripped
C. character           F. outshone","A,E",Two Blank,,,,6
"The development of hydrogen-powered cars will always be (i)________ by the physical fact that hydrogen, while containing more energy per gallon than does gasoline, is much less dense than gasoline; hydrogen thus carries less energy per pound, making it (ii)________ for any vehicle to carry enough hydrogen on board for long trips.

A. enhanced          D. convenient
B. hindered          E. austere
C. parodied          F. ungainly","B,F",Two Blank,,,,6
"While there are computer programs that can (i)_________ humans in highly exacting yet specialized intellectual domains, such as playing the game of chess, no computer or robot today can match the (ii) _________ of human intelligence.

A. outclass          D. generality
B. succeed           E. compendium
C. assist            F. rationale","A,D",Two Blank,,,,6
"While it would seem (i) _______ to ignore the huge body of evidence pointing to profound risks, it comes at a challenging time geopolitically, when both fact-based world views and even international cooperation are (ii) _______.

A. courageous          D. embraced
B. imprudent           E. highlighted
C. wise                F. questioned","B,F",Two Blank,,,,6
"The investigative panel was nothing short of outraged by the bus driver's negligence and lack of remorse. It determined that the driver had failed to follow the established (i) ________ . As a result, she had compromised the safety of the passengers. More fundamentally, however, she had actually and effectively (ii) ________ at least two of her riders' rights.

A. code of conduct              D. abrogated
B. rules of engagement          E. renounced
C. terms of use                 F. negated","A,F",Two Blank,,,,6
"That Jane Austen's satiric wit is lost on some readers is (i) ________ because it is so (ii) ________ as to become caricature; for example, consider the Rev. Collins in Pride and Prejudice.

A. logical                 D. flashy
B. understandable          E. showy
C. inexplicable            F. overdrawn","B,F",Two Blank,,,,6
"Although the (i) ________ against murder is universal, the definition of the crime is highly (ii) _________. A strict adherence to Buddhist teachings, for example, would most likely lead one to condemn even killing in self-defense, which is generally tolerated in modern society.

A. litigation            D. contentious
B. vituperation          E. fallacious
C. proscription          F. inclusive","C,D",Two Blank,,,,6
"Though many professional book reviewers would agree that criticism should be (i)_____  enterprise, a tendency to write (ii)_____ reviews has risen, partly out of the mistaken belief that  sharing personal details will help reviewers stand out of the pack

A. an anonymous           D. scathing
B. an evenhanded          E. confessional
C. a spirited             F. superficial","A,E",Two Blank,,,,6
"Despite his longtime advocacy for campaign finance reform, the career politician was, in fact, far more (i) ________ corporate interests than his rival, whose relatively recent entry into the political arena meant that he had far fewer (ii) ________ to make good on.

A. leery of                 D. affiliations
B. beholden to              E. dilemmas
C. apathetic about          F. obligations","B,F",Two Blank,,,,6
"Given the (i) ________ of the book, the critical reception was surprisingly (ii) ________; reviewers who usually pounce on the slightest orthodoxy met the text with unabashed approbation.

A. ingenuity                D. tepid
B. tortuousness             E. laudatory
C. conventionality          F. deprecating","C,E",Two Blank,,,,6
"The Tasmanian devil is not considered (i) ________, since only a few of its confrontations with humans have been (ii) ________.

A. adverse                D. premature
B. menacing               E. quixotic
C. unpredictable          F. unprovoked","B,F",Two Blank,,,,6
"One of the most (i) ________ and respected members of our community is giving a speech about some (ii) ________ issues affecting our local government at the town hall meeting this Friday.

A. malevolent          D. crucial
B. eminent             E. incandescent
C. marginal            F. heterogeneous","B,D",Two Blank,,,,6
"Although we tend to think of our judgments of others as (i) ________ observations, the reality is that a variety of unconscious beliefs and biases affect our opinions. For example, we so expect a person's physical appearance to (ii)  _________ his overall intelligence and morality that attractive people are more likely to receive good grades in school and land a well-paying job.

A. dispassionate          D. ascribe to
B. chary                  E. purport to
C. momentous              F. jibe with","A,F",Two Blank,,,,6
"Although the differences are no doubt (i) _______ to the casual listener, various studies have that men and women do not use language in precisely the same way. Men, for example, are far more likely to compliment women than vice versa, perhaps due to deeply ingrained cultural attitudes that condemn as (ii) ________ any romantically assertive woman.

A. pertinent              D. garish
B. blatant                E. brazen
C. indiscernible          F. capricious","C,E",Two Blank,,,,6
"Despite his insistence to the contrary, the author’s (i) _______ hostility was evinced in the tone he used when describing the senator’s qualifications; he did not (ii) _______ using words like “craven” and “ill-conceived” liberally when writing about the legislator’s voting record.

A. manifest          D. demur at
B. dubious           E. relish
C. obscure           F. hasten to","A,D",Two Blank,,,,6
"The field of cryptozoology is the search for animals unknown to science and those for which we have no scientific attestation; (i) ________​ physical evidence, it relies upon (ii) _________​ sightings for proof of creatures such as the Loch Ness Monster.

A. ignoring          D. anecdotal
B. lacking           E. imagined
C. needing           F. nominal","B,D",Two Blank,,,,6
"Architectural  (i)_________ such  as  Koolhaas  recognized  Hadid's  talents  early and  encouraged  their  development.  By  1977,  only  a  few years  after their  initial encounter,  she  had  perfected  her  (ii)_________ style,  inspired  equally  by such disparate  styles  as  Malevich's  sparse  constructivism  and  the  flowing  callig­raphy of her native Arabic.

A. cognoscenti          D. fungible
B. fledglings           E. malleable
C. neophytes            F. heteromorphic","A,F",Two Blank,,,,6
"Some teachers (i) _____ charter schools, claiming that the schools have an unfair advantage.  (ii) _____ by Department of Education policies and state laws that govern education, charter schools  can set very selective admissions standards and (iii) _____ their own policies, while traditional public  schools cannot.

A. extoll           D. unencumbered        G. disallow
B. advocate         E. hampered            H. forge
C. deprecate        F. constrained         I. correlate","C,D,H",Three Blank,,,,9
"A (i) _____ democracy must be built on certain (ii) _____ in order to survive. Giving the populace the right to vote without establishing the rule of law makes a young democracy (iii) _____ to evolving into a dictatorship.

A. well-established        D. precepts          G. dedicated
B. nascent                 E. criteria          H. resolute
C. representative          F. precedents        I. prone","B,D,I",Three Blank,,,,9
"Unquestionably, the particular forms that folly and cruelty take in Jane Austen’s novels are  (i)_____ the character’s social milieu, which was also Austen’s own; but to realize that one’s  society motivates people in unfortunate ways is not necessarily to (ii)_____ it, for the alternatives,  though different, might be no more (iii)_____.

A. shaped by                D. expose             G. salutary
B. removed from             E. condemn            H. corrosive
C. unrecognizable in        F. rationalize        I. realistic","A,E,G",Three Blank,,,,9
"Fifty pages of footnotes, some of them presenting quite lengthy bibliographies, suggest that very few pertinent sources on the Black Arts movement in literature have (i)_____ Thompson’s search; (ii)_____, the text makes it clear that the author’s examination of these sources has been similarly (iii)_____.

A. eluded               D. moreover            G. valuable
B. characterized        E. however             H. timely
C. motivated            F. consequently        I. exhaustive","A,D,I",Three Blank,,,,9
"The historian’s narrative of the dynasty’s decline is (i)_____, because though there is nothing (ii)_____ the account, largely parts of it rely on (iii)_____.

A. diffuse             D. psychologically penetrating in        G. plagiarism
B. reasonable          E. inherently implausible about          H. conjecture
C. questionable        F. fully documented in                   I. pretense","C,E,H",Three Blank,,,,9
"Even the reader acquainted with the outlines of Pushkin’s biography will be (i)_____ the (ii)_____ so vividly conveyed in Binyon’s biography. Not only was Pushkin’s personal correspondence intercepted and his movements (iii)_____, but Tsar Nicholas I’s decision  to oversee Pushkin’s career obliged Pushkin to submit all his manuscripts for inspection.

A. attracted by        D. suffocating lack of creative freedom          G. ignored
B. confused by         E. concern for contemporary  society             H. monitored
C. struck by           F. underlying sense of  historical change        I. commended","C,D,H",Three Blank,,,,9
"When asked whether the antique vase was in (i) _____ condition, its owner (ii) _____ that it certainly was. When the buyer received it, however, she discovered that she had been (iii) _____.

A. pristine           D. corroborated        G. sidetracked
B. primordial         E. proved              H. duped
C. rudimentary        F. averred             I. ostracized","A,F,H",Three Blank,,,,9
"His grandmother’s house was always a bedlam of porcelain figurines, collector’s spoons, and other (i) __________ doodads. But it hardly would have been (ii) __________ to tell her that he thought her choice of décor was vulgar; in fact, he had to think (iii) _________, because the avaricious youth was gunning for a big birthday present from her.

A. tacky           D. tactful          G. amicably
B. vitreous        E. rancorous        H. tactically
C. grizzled        F. doting           I. duplicitously","A,D,H",Three Blank,,,,9
"The pair’s apparent antagonism could easily be written off as (i) ________ pure and simple, but further scrutiny should render (ii) ________ the fact that the rivalry also confers a fair amount of (iii) _________, insofar as it provides each an opportunity to derive inspiration and motivation from the other.

A. dissimulation        D. useless         G. worthless pride
B. antipathy            E. patent          H. mutual benefit
C. flagrancy            F. spurious        I. tacit disagreement","B,E,H",Three Blank,,,,9
