Passage,Correct answers,Type,Difficulty,Size,Questions,Flags,
"It can take time for proposed amendments to the US Constitution to become law. For example, the Twenty‑Second Amendment, which limits the number of ____ can serve, was first proposed in 1947 but wasn't approved by the required three‑fourths majority of state legislatures until 1951.

A. terms presidents
B. term's presidents
C. term's president's
D. terms president's",A,,Medium,,,,"Plural nouns ""terms"" and ""presidents"" are correct."
"Between 322 and 184 BCE, the Maurya Empire established a complex economic system that, through trade and centralized ____ funded major infrastructure projects throughout the Indian subcontinent. This included the building of many roads, canals, and hospitals.

A. taxation:
B. taxation,
C. taxation‑
D. taxation",B,,Medium,,,,"Comma after ""taxation"" pairs with the comma after ""that"" to set off the supplementary element."
"In 2018, a team of researchers led by Dr. Caitlin Whalen compiled every available measurement of ocean mixing rates from the past two decades. With this novel data set, the team was able to determine how current‑driven mixing varies across ____ and what impact it has on the distribution of heat and nutrients in the ocean.

A. regions,
B. regions:
C. regions;
D. regions",D,,Hard,,,,No punctuation between the two coordinated elements.
"Researcher Lin Zhi developed a process for increasing the tensile strength‑ measured in gigapascals, or GPa‑ of silkworm ____ dissolving and reweaving the silk in a solution of iron metal ions, zinc, and sugar, Zhi increased the amount of force required to stretch it from approximately 0.5 GPa to 2 GPa.

A. silk, by
B. silk by
C. silk and by
D. silk. By",D,,Hard,,,,Period separates two independent clauses.
"A subseasonal weather forecast attempts to predict weather conditions three to four weeks in ____ its predictions are therefore more short‑term than those of the seasonal forecast, which attempts to predict the weather more than a month in advance.

A. advance,
B. advance
C. advance;
D. advance and",C,,Easy,,,,Semicolon joins two independent clauses.
"Working from an earlier discovery of Charpentier's, chemists Emmanuelle Charpentier and Jennifer Doudna‑ winners of the 2020 Nobel Prize in Chemistry‑ re‑created and then reprogrammed the so‑called ""genetic scissors"" of a species of DNA‑cleaving bacteria ____ a tool that is revolutionizing the field of gene technology.

A. to forge
B. forging
C. forged
D. and forging",A,,Hard,,,,"To‑infinitive ""to forge"" explains why they re‑created and reprogrammed."
"The Mesoamerican city of Teotihuacan featured a uniquely egalitarian urban housing infrastructure. Built between the first and seventh centuries CE, Teotihuacan housed its residents (as many as 200,000, by some ____ in a complex of comfortable apartments of comparable size.

A. estimates)
B. estimates),
C. estimates‑
D. estimates",A,,Medium,,,,Closing parenthesis completes the parenthetical element.
"In discussing Mary Shelley's 1818 epistolary novel Frankenstein, literary theorist Gayatri Spivak directs the reader's attention to the character of Margaret Saville. As Spivak points out, Saville is not the protagonist of Shelley's ____ as the recipient of the letters that frame the book's narrative, she's the ""occasion"" of it.

A. novel
B. novel,
C. novel; rather,
D. novel, rather,",C,,Hard,,,,Semicolon joins two main clauses.
"As British scientist Peter Whibberley has observed, ""the Earth is not a very good timekeeper."" Earth's slightly irregular rotation rate means that measurements of time must be periodically adjusted. Specifically, an extra ""leap second"" (the 86,401st second of the day) is ____ time based on the planet's rotation lags a full nine‑tenths of a second behind time kept by precise atomic clocks.

A. added, whenever
B. added; whenever
C. added. Whenever
D. added whenever",D,,Medium,,,,No punctuation needed between the verb and the preposition.
"Julia Alvarez's 1994 novel In the Time of the Butterflies, a fictionalized account of the lives of the Mirabal ____ can serve as a starting point for those wanting to explore how the rule of dictator Rafael Trujillo has been represented in Dominican American literature.

A. sisters, and
B. sisters and
C. sisters,
D. sisters",C,,Medium,,,,"Comma after ""sisters"" pairs with comma after ""Butterflies"" to set off the supplementary element."
"Objects ranging from the Kikkoman soy sauce bottle to the Yamaha VMAX motorcycle to the Komachi bullet train ____ designed by twentieth‑century industrial designer Kenji Ekuan.

A. was
B. is
C. has been
D. were",D,,Easy,,,,"Plural verb ""were"" agrees with plural subject ""objects."""
"In the historical novel The Surrender Tree, Cuban American author Margarita Engle uses poetry rather than prose ____ the true story of Cuban folk hero Rosa La Bayamesa.

A. tells
B. told
C. is telling
D. to tell",D,,Easy,,,,"To‑infinitive ""to tell"" explains why Engle uses poetry."
"In assessing the films of Japanese director Akira Kurosawa, ____ have missed his equally deep engagement with Japanese artistic traditions such as Noh theater.

A. many critics have focused on Kurosawa's use of Western literary sources but
B. Kurosawa's use of Western literary sources has been the focus of many critics, who
C. there are many critics who have focused on Kurosawa's use of Western literary sources, but they
D. the focus of many critics has been on Kurosawa's use of Western literary sources; they",A,,Hard,,,,"""many critics"" is placed immediately after the modifying phrase."
"Solarpunk is an art movement that imagines renewable energy‑powered technology infused complementarily into nature. In Paolo Bacigalupi's solarpunk short story ""Efficiency,"" an artificial intelligence that absorbs sustainable energies, redistributing them through intricate networks of weights and generators, ____ Chicago's energy grid.

A. have been powering
B. power
C. powers
D. are powering",C,,Medium,,,,"Singular verb ""powers"" agrees with singular subject ""an artificial intelligence."""
"In her book The Woman Warrior: Memoirs of a Girlhood Among Ghosts, author Maxine Hong Kingston examines themes ____ childhood, womanhood, and Chinese American identity by intertwining autobiography and mythology.

A. of:
B. of
C. of‑
D. of,",B,,Easy,,,,No punctuation between the preposition and its complement.
"The fine, powdery substance that covers the Moon's surface is called regolith. Because regolith is both readily available and high in oxygen ____ scientists have wondered whether it could be used as a potential source of oxygen for future lunar settlements.

A. content and
B. content,
C. content
D. content, and",B,,Easy,,,,Comma marks the boundary between the subordinate clause and the main clause.
"Over twenty years ago, in a landmark experiment in the psychology of choice, professor Sheena lyengar set up a jam‑tasting booth at a grocery store. The number of jams available for tasting ____ some shoppers had twenty‑four different options, others only six. Interestingly, the shoppers with fewer jams to choose from purchased more jam.

A. varied:
B. varied,
C. varied, while
D. varied while",A,,Hard,,,,Colon introduces the description of how the number varied.
"Classical composer Florence Price's 1927 move to Chicago marked a turning point in her career. It was there that Price premiered her First Symphony‑ a piece that was praised for blending traditional Romantic motifs with aspects of Black folk music‑ and ____ supportive relationships with other Black artists.

A. developing
B. developed
C. to develop
D. having developed",B,,Medium,,,,"Past‑tense ""developed"" matches ""premiered"" in the same clause."
"English poet and Shakespeare contemporary John Donne's ____ much admired during his lifetime (1572‑1631) and in the decades that followed, had, at the time of their enthusiastic rediscovery by the early twentieth‑century modernists, been essentially gathering dust for the intervening 250 years.

A. works were
B. works, were
C. works,
D. works had been",C,,Hard,,,,"The verb ""admired"" is left as a nonfinite past participle within a supplementary element."
"Like other amphibians, the wood frog (Rana sylvatica) is unable to generate its own heat, so during periods of subfreezing temperatures, it ____ by producing large amounts of glucose, a sugar that helps prevent damaging ice from forming inside its cells.

A. had survived
B. survived
C. would survive
D. survives",D,,Easy,,,,"Present tense ""survives"" indicates a regular occurrence."
"While exploring Nevada's Gypsum Cave in 1930, Seneca and Abenaki archaeologist Bertha Parker made her most famous discovery: the skull of a now‑extinct ground sloth (Nothrotheriops shastensis) alongside human‑made tools. Parker's crucial finding was the first ____ humans in North America as far back as 10,000 years ago.

A. places
B. placed
C. place
D. to place",D,,Easy,,,,"Nonfinite infinitive ""to place"" acts as a modifier for ""first."""
"PoPay was a Tewa leader from Ohkay Owingeh, a pueblo located about twenty‑five miles north of present‑day Santa Fe, New Mexico. He was instrumental in organizing the Pueblo Revolt of ____ as a result of his leadership, the Spanish colonizers were expelled from the region for a time.

A. 1680
B. 1680 and
C. 1680,
D. 1680, and",D,,Medium,,,,"Comma + ""and"" joins two main clauses."
"The short story ""Rogue Enchantments"" by Isabel Ibanez appears in Reclaim the ____ anthology of fantasy and science fiction written by authors of Latin American descent.

A. Stars. An
B. Stars, while an
C. Stars an
D. Stars, an",D,,Easy,,,,Comma marks boundary between the main clause and the supplementary element.
"Every last second of space shuttle mission STS‑79, which lasted ten days and three hours, ____ carefully monitored by a team of experts.

A. have been
B. are
C. was
D. were",C,,Medium,,,,"Singular verb ""was"" agrees with singular subject ""every last second."""
"Psychophysicist Howard Moskowitz was hired by a soda company to determine how much artificial sweetener ____ After conducting consumer taste tests, he found that no such ideal existed: participants expressed a wide range of preferences for different blends of sweetener, carbonization, and flavoring.

A. do most people prefer in a diet drink?
B. do most people prefer in a diet drink.
C. most people prefer in a diet drink?
D. most people prefer in a diet drink.",D,,Easy,,,,Period punctuates a declarative statement.
"Many Samoans enjoy a sport called kilikiti. This bat‑and‑ball game was derived from ____ kilikiti differs from cricket in a few key ways.

A. cricket but:
B. cricket but,
C. cricket, but
D. cricket, but,",C,,Easy,,,,"Comma before ""but"" joins two main clauses."
"Gathering accurate data on water flow in the United States is challenging because of the country's millions of miles of ____ the volume and speed of water at any given location can vary drastically over time.

A. waterways and the fact that,
B. waterways, and the fact that,
C. waterways, and, the fact that
D. waterways and the fact that",D,,Medium,,,,No punctuation between coordinated noun phrases.
"The sun never sets during the Arctic summer in the Far North. In response, reindeer in this region must change their sleep habits. Instead of resting when it gets dark, they rest when they need ____ their food.

A. digest
B. will digest
C. to digest
D. digesting",C,,Easy,,,,"To‑infinitive ""to digest"" works with ""need."""
"British scientists James Watson and Francis Crick won the Nobel Prize in part for their 1953 paper announcing the double helix structure of DNA, but it is misleading to say that Watson and Crick discovered the double helix. ____ findings were based on a famous X‑ray image of DNA fibers, ""Photo 51,"" developed by X‑ray crystallographer Rosalind Franklin and her graduate student Raymond Gosling.

A. They're
B. It's
C. Their
D. Its",C,,Easy,,,,"Plural possessive ""their"" agrees with ""Watson and Crick."""
"One of the few African American global explorers during the turn of the 20th century, ____

A. Matthew Henson made several treks across Greenland between 1891 and 1909.
B. 1891 and 1909 were the years between which Matthew Henson made several treks across Greenland.
C. Greenland was where Matthew Henson made several treks between 1891 and 1909.
D. several treks across Greenland were made by Matthew Henson between 1891 and 1909.",A,,Easy,,,,"""Matthew Henson"" is placed immediately after the modifying phrase."
"In 2008, two years after the death of science fiction writer Octavia Butler, the Huntington Library in ____ received a collection of more than 8,000 items, including Butler's private notes, research materials, manuscripts, photos, and drawings. Today, the Octavia E. Butler Collection is one of the most researched archives at the library.

A. California,
B. California:
C. California‑
D. California",D,,Medium,,,,No punctuation between the subject and its verb.
"In the 1950s, a man named Joseph McVicker was struggling to keep his business afloat when his sister‑in‑law Kay Zufall advised him to repurpose the company's product, a nontoxic, clay‑like substance for removing soot from wallpaper, as a modeling putty for kids. In addition, Zufall ____ selling the product under a child‑friendly name: Play‑Doh.

A. suggested
B. suggests
C. had suggested
D. was suggesting",A,,Medium,,,,"Simple past ""suggested"" matches the past‑tense narrative."
"On sunny days, dark rooftops absorb solar energy and convert it to unwanted heat, raising the surrounding air ____ a light‑colored covering to an existing dark roof, either by attaching prefabricated reflective sheets or spraying on a paint‑like coating, helps combat this effect.

A. temperature; by adding
B. temperature, adding
C. temperature. Adding
D. temperature by adding",C,,Hard,,,,Period marks boundary between two sentences.
"Typically, underlines, scribbles, and notes left in the margins by a former owner lower a book's ____ when the former owner is a famous poet like Walt Whitman, such markings, known as marginalia, can be a gold mine to literary scholars.

A. value, but
B. value
C. value,
D. value but",A,,Easy,,,,"Comma + ""but"" joins two independent clauses."
"When they were first discovered in Australia in 1798, duck‑billed, beaver‑tailed platypuses so defied categorization that one scientist assigned them the name Ornithorhynchus paradoxus: ""paradoxical bird‑snout."" The animal, which lays eggs but also nurses ____ young with milk, has since been classified as belonging to the monotremes group.

A. they're
B. their
C. its
D. it's",C,,Hard,,,,"Singular possessive ""its"" agrees with singular antecedent ""the animal."""
"Butterfly is a 1988 painting by the Japanese artist Ay‑O. Like many of Ay‑O's paintings, Butterfly, which portrays a swimmer performing the butterfly stroke, attempts to make use of the entire visual light ____ sportin rainbow‑striped goggles, the rainbow‑hued swimmer splashes through a wavy rainbow of water.

A. spectrum
B. spectrum:
C. spectrum while
D. spectrum, while",B,,Hard,,,,Colon introduces the description of how the painting uses the spectrum.
"Featuring works by the photographers Lola Alvarez Bravo and Else ""Yva"" Neulander‑Simon, the 2021 exhibition The New Woman Behind the Camera set out to provide a wide‑ranging overview of photography by women in the 1920s through the ____ given the collection's breadth of more than 120 photos, its efforts were largely successful.

A. 1950s, and
B. 1950s and
C. 1950s
D. 1950s,",A,,Hard,,,,"Comma + ""and"" joins two main clauses."
"The term ""retroflex"" derives from Latin and means ""bent back,"" an apt descriptor for the branch of consonants‑ retroflex consonants‑ pronounced with the tongue curling up and back in the mouth. In many languages, including English, these consonants are ____ in some dialects of Mandarin, however, four such consonants (""ch,"" ""sh,"" ""zh,"" and ""r"") are relatively common.

A. rare and
B. rare,
C. rare
D. rare;",D,,Hard,,,,Semicolon joins two main clauses.
"After the United Kingdom began rolling out taxes equivalent to a few cents on single‑use plastic grocery bags in 2011, plastic‑bag consumption decreased by up to ninety ____ taxes are subject to what economists call the ""rebound effect"": as the change became normalized, plastic‑bag use started to creep back up.

A. percent, such
B. percent and such
C. percent. Such
D. percent such",C,,Easy,,,,Period marks boundary between two sentences.
"Known as Earth's ""living skin,"" biocrusts are thin layers of soil held together by surface‑dwelling microorganisms such as fungi, lichens, and cyanobacteria. Fortifying soil in arid ecosystems against erosion, ____

A. a recent study's estimate is that these crusts reduce global dust emissions by 60 percent each year.
B. an estimated 60 percent reduction in global dust emissions each year is due to these crusts, according to a recent study.
C. these crusts reduce global dust emissions by an estimated 60 percent each year, according to a recent study.
D. a recent study has estimated that these crusts reduce global dust emissions by 60 percent each year.",C,,Hard,,,,"""these crusts"" is placed immediately after the modifying phrase."
"In order to prevent nonnative fish species from moving freely between the Mediterranean and Red Seas, marine biologist Bella Galil has proposed that a saline lock system be installed along the Suez Canal in Egypt's Great Bitter Lakes. The lock would increase the salinity of the lakes and ____ a natural barrier of water most marine creatures would be unable to cross.

A. creates
B. create
C. creating
D. created",B,,Easy,,,,"Non‑finite plain form ""create"" follows the modal ""would."""
"In her two major series ""Memory Test"" and ""Autobiography,"" painter Howardena Pindell explored themes ____ healing, self‑discovery, and memory by cutting and sewing back together pieces of canvas and inserting personal artifacts, such as postcards, into some of the paintings.

A. of
B. of,
C. of‑
D. of:",A,,Easy,,,,No punctuation between the preposition and its complement.
"An online content creator who uses copyrighted songs without permission risks being demonetized (prohibited from including paid advertisements in content). The best way to avoid demonetization is to choose music from the public domain. Using one of these noncopyrighted songs ____ a creator won't lose advertising revenue.

A. are ensuring
B. have ensured
C. ensure
D. ensures",D,,Easy,,,,"Singular verb ""ensures"" agrees with singular subject ""using."""
"The part of a compound that determines the compound's color is the chromophore. One example of a chromophore is hemoglobin, which gives human blood its red color.

A. called,
B. called
C. called
D. called;",B,,Easy,,,,No punctuation between the verb and its complement.
"Archaeologists have estimated that the pre‑Columbian Native American city of Cahokia, located across the Mississippi River from modern‑day St. Louis, Missouri, had as many as 20,000 inhabitants in the year 1150 ____ it one of the largest cities in North America at the time.

A. CE making
B. CE. Making
C. CE, making
D. CE, making",C,,Medium,,,,"Comma separates the nonessential supplement ""making…at the time."""
"About 70,000 meteorites have been found on Earth. Although most meteorites are fragments of ____ hundred have been identified as being from the Moon or Mars.

A. asteroids. Several
B. asteroids, several
C. asteroids; several
D. asteroids: several",B,,Easy,,,,Comma separates the dependent clause from the independent clause.
"Sociologist Alton Okinaka sits on the review board tasked with adding new sites to the Hawai'i Register of Historic Places, which includes Pi'ilanihale Heiau and the 'Opaeka'a Road Bridge. Okinaka doesn't make such decisions ____ all historical designations must be approved by a group of nine other experts from the fields of architecture, archaeology, history, and Hawaiian culture.

A. single‑handedly, however;
B. single‑handedly, however;
C. single‑handedly, however;
D. single‑handedly however",A,,Hard,,,,"Comma before ""however"" and semicolon after it correctly join the clauses."
"The African Games Co‑production Market, one of over 180 annual international conferences supporting video game development, ____ the growth of the African gaming industry by helping start‑up studios in Africa find partners.

A. promote
B. are promoting
C. promotes
D. have promoted",C,,Easy,,,,"Singular verb ""promotes"" agrees with singular subject ""The African Games Co‑production Market."""
"Eighteen letters written by Louisa May Alcott, author of the popular novel Little Women (1868), can be found at the New York Historical Society. ____ Letters demonstrate Alcott's keen business sense in her interactions with publishers.

A. One
B. That
C. This
D. These",D,,Easy,,,,"Plural determiner ""these"" agrees with plural noun ""Letters."""
"On November 2, 1772, amid rising tensions with Great Britain, Boston colonists formed the Boston Committee of Correspondence. By 1774, what had started as a local means of mobilizing support for the Patriot cause had grown into something far more ____ network of such committees that, facilitating communication among the colonies, helped lay the groundwork for the Continental Congress.

A. extensive: a
B. extensive; a
C. extensive, it was a
D. extensive. A",A,,Hard,,,,Colon introduces the explanation of what it had grown into.
"The village of Panduyacu in Ecuador ____ one of the rare places in the world located almost directly on the equator.

A. are being
B. have been
C. is
D. are",C,,Easy,,,,"Singular verb ""is"" agrees with singular subject ""village."""
"Cy Twombly, a US painter and sculptor, created many large‑scale abstract works, such as his 10‑painting series Fifty Days at llam. In these works, Twombly's artistic style is exemplified by his use of graffiti‑like ____ often incorporate words or phrases from poetry and mythology.

A. scribbles: that
B. scribbles that
C. scribbles; that
D. scribbles. That",B,,Medium,,,,"Integrated relative clause with ""that"" requires no punctuation."
"As cheesemaking practices spread throughout Europe and Asia during and after the Neolithic, divergent strategies for preserving milk ____ whereas rennet‑coagulated cheesemaking became key to milk preservation in Europe and Southwest Asia, acid‑heat coagulation methods became common among nomadic herding populations of the northeastern Eurasian steppe.

A. emerged
B. emerged and
C. emerged:
D. emerged,",C,,Hard,,,,Colon signals that what follows is an elaboration of what came before.
"Polyphenols are organic compounds ____ among their many roles, provide pigment that helps protect plants against ultraviolet radiation from sunlight.

A. that
B. that;
C. that;
D. that:",C,,Easy,,,,"Comma after ""that"" pairs with comma after ""roles"" to set off the supplementary element."
"In 1966, Emmett Ashford became the first African American to umpire a Major League Baseball game. His energetic gestures announcing when a player had struck out and his habit of barreling after a hit ball to see if it would land out of ____ transform the traditionally solemn umpire role into a dynamic one.

A. bounds helped
B. bounds, helping
C. bounds that helped
D. bounds to help",A,,Medium,,,,"Finite past‑tense verb ""helped"" is required for the main clause."
"The classic children's board game Chutes and Ladders is a version of an ancient Nepalese game, Paramapada Sopanapata. In both games, players encounter ""good"" or ""bad"" spaces while traveling along a path; landing on one of the good spaces ____ a player to skip ahead and arrive closer to the end goal.

A. allows
B. are allowing
C. have allowed
D. allow",A,,Easy,,,,"Singular verb ""allows"" agrees with singular subject ""landing."""
"Literary agents estimate that more than half of all nonfiction books credited to a celebrity or other public figure are in fact written by ghostwriters, professional authors who are paid to write other ____ but whose names never appear on book covers.

A. people's stories
B. peoples story's
C. peoples stories
D. people's story's",A,,Easy,,,,"Plural possessive ""people's"" and plural noun ""stories"" are correct."
"Based on genetic evidence, archaeologists have generally agreed that reindeer domestication began in the eleventh century CE. However, since uncovering fragments of a 2,000‑year‑old reindeer training harness in northern Siberia, ____ may have begun much earlier.

A. researcher Robert Losey has argued that domestication
B. researcher Robert Losey's argument is that domestication
C. domestication, researcher Robert Losey has argued,
D. the argument researcher Robert Losey has made is that domestication",A,,Medium,,,,"""researcher Robert Losey"" is placed immediately after the modifying phrase."
"Several advantages‑ the ability to react strongly with chip components, to avoid interference from other waves, and to be confined within tiny circuits‑ ____ acoustic waves as a promising alternative to electrical waves for transmitting data on computer chips; as a result, researchers are invested in developing more acoustic wave‑based chips.

A. have positioned
B. positioning
C. by positioning
D. having positioned",A,,Hard,,,,"Finite verb ""have positioned"" is required for the main clause."
"Eli Eisenberg, a genetics expert at Tel Aviv University in Israel, recently discovered that ____ have a special genetic ability called RNA editing that confers evolutionary advantages.

A. cephalopods, ocean dwellers that include the squid, the octopus, and the cuttlefish
B. cephalopods—ocean dwellers—that include the squid, the octopus, and the cuttlefish,
C. cephalopods, ocean dwellers that include: the squid, the octopus, and the cuttlefish,
D. cephalopods—ocean dwellers that include the squid, the octopus, and the cuttlefish—",D,,Medium,,,,Dashes set off the supplementary element.
"In the early twentieth century, Joseph Kekuku and other Hawaiian ____ in the mainland United States to the bright and liting sound of the kika kila, or Hawaiian steel guitar. The instrument soon became a fixture in American blues and country music.

A. musicians introduced audiences
B. musicians' introduced audiences'
C. musician's introduced audiences'
D. musicians' introduced audiences",A,,Easy,,,,"Plural nouns ""musicians"" and ""audiences"" are correct."
"Detroit natives Timothy Paule and Nicole Lindsey have combined their two passions, Detroit and beekeeping, to improve the health of their city's flowers and other vegetation. In 2017, the couple converted a vacant lot in the city into an ____ in the years that followed they acquired nine additional lots and established more than 35 hives.

A. apiary,
B. apiary, and
C. apiary and
D. apiary",B,,Medium,,,,"Comma + ""and"" joins two independent clauses."
"According to the original text of the US Constitution, written in 1787, the presidential candidate receiving the second‑most Electoral College votes becomes vice president. The 12th amendment, ratified in ____ separated the elections for the two offices.

A. 1804‑
B. 1804,
C. 1804:
D. 1804",B,,Medium,,,,"Comma after ""1804"" pairs with comma after ""amendment"" to set off the supplementary element."
"Tortoises can be found in many works of literature. For example, in Tom Stoppard's 1993 play Arcadia, there is a tortoise that ____ by two names (Plautus and Lightning) and appears in both of the play's parallel timelines. As a character, the tortoise symbolizes the connection between the past and present.

A. goes
B. will have gone
C. went
D. had gone",A,,Medium,,,,"Present tense ""goes"" is consistent with the other present‑tense verbs describing the play."
"To fully describe the motion of an object requires knowing each of five ____ movement: displacement, time, initial velocity, final velocity, and acceleration. These are called kinematic variables.

A. variable's that characterize objects'
B. variables that characterize objects'
C. variables that characterize objects'
D. variables that characterize objects",B,,Hard,,,,"Plural noun ""variables"" and plural possessive ""objects'"" are correct."
"Legal scholars James Melton and Tom Ginsburg's analysis of de jure judicial independence and its growth over decades ____ six constitutional features that enhance such independence, including judicial tenure and selection procedure. Albania's constitution contains five of these features.

A. are identifying
B. identify
C. have identified
D. identifies",D,,Hard,,,,"Singular verb ""identifies"" agrees with singular subject ""analysis."""
"The present‑day city of Dushanbe, Tajikistan, was for years the capital of the Tajik Autonomous Soviet Socialist Republic, one of many nominally autonomous republics within the Soviet Union. Like ____ peer autonomous Soviet socialist republics, the Tajik Republic was established along ethnolinguistic lines: most of the republic's residents spoke Persian.

A. their
B. they're
C. its
D. it's",C,,Hard,,,,"Singular possessive ""its"" agrees with singular subject ""the Tajik Republic."""
"The city of Pompeii, which was buried in ash following the eruption of Mount Vesuvius in 79 CE, continues to be studied by archaeologists. Unfortunately, as ____ attest, archaeological excavations have disrupted ash deposits at the site, causing valuable information about the eruption to be lost.

A. researchers, Roberto Scandone and Christopher Kilburn,
B. researchers, Roberto Scandone and Christopher Kilburn
C. researchers Roberto Scandone and Christopher Kilburn
D. researchers Roberto Scandone, and Christopher Kilburn",C,,Medium,,,,No punctuation within a restrictive coordinated noun phrase.
"Ten of William Shakespeare's plays are classified as histories. Although each one of these plays, which include Henry V and Richard III, ____ on a single historical figure (specifically, an English king), some, such as Henry VI Part One and Henry VI Part Two, feature different episodes from the same monarch's life.

A. focuses
B. focus
C. are focused
D. were focused",A,,Hard,,,,"Singular verb ""focuses"" agrees with singular subject ""each one."""
"Woven from recycled yarn and hand tufted using a carpet weaving technique passed down by the artist's Turkish grandmother, ____ so lush and tactily inviting that you are tempted to reach out and touch them.

A. the topological tapestries of Argentine textile artist Alexandra Kehayoglou are
B. the Argentine textile artist Alexandra Kehayoglou creates topological tapestries that are
C. when she creates her topological tapestries, Argentine textile artist Alexandra Kehayoglou makes them
D. Alexandra Kehayoglou is an Argentine textile artist whose topological tapestries are",A,,Hard,,,,"""the topological tapestries"" is placed immediately after the modifying phrase."
"Using satelite remote sensing, Dr. Catherine Nakalemb, director of NASA's Harvest Africa initiative, gathers important data on crop health. Nakalemb doesn't just compile the ____ she also shares her findings with African farmers, enabling them to make data‑driven decisions about managing critical food crops.

A. information, though;
B. information, though,
C. information, though
D. information though,",A,,Hard,,,,"Semicolon joins two independent clauses; ""though"" belongs in the first."
"From afar, African American fiber artist Bisa Butler's portraits look like paintings, their depictions of human faces, bodies, and clothing so intricate that it seems only a fine brush could have rendered them. When viewed up close, however, the portraits reveal themselves to be ____ stitching barely visible among the thousands of pieces of printed, microcut fabric.

A. quilts, and the
B. quilts, the
C. quilts; the
D. quilts. The",B,,Hard,,,,Comma marks boundary between the main clause and the supplementary noun phrase.
"Wanting to celebrate the 100th anniversary of the Alaska Purchase, ____ up with a motto that best captured the state's unique character. The commission selected ""North to the Future,"" submitted by Juneau journalist Richard Peter, as its winning entry.

A. a contest sponsored by the Alaska Centennial Commission would award $300 to an individual who came<br>B. an award of $300 would go to an individual in a contest sponsored by the Alaska Centennial Commission for coming
C. $300 would be awarded to an individual by the Alaska Centennial Commission in a contest for coming<br>D. the Alaska Centennial Commission sponsored a contest that would award $300 to an individual who came",D,,Medium,,,,"""the Alaska Centennial Commission"" is placed immediately after the modifying phrase."
"In paleontology, the term ""Elvis taxon"" gets applied to a newly identified living species that was once presumed to be extinct. Like an Elvis impersonator who might bear a striking resemblance to the late musical icon Elvis Presley himself, an Elvis taxon is not the real thing, ____ is a misidentified look‑alike.

A. however but it
B. however it
C. however, it
D. however. It",D,,Hard,,,,Period separates two independent clauses.
"Smaller than poppy seeds, tardigrades are tiny, but they are tough. These minuscule animals can survive for thirty years without food or water, and ____ can withstand extreme temperatures as low as minus 328 degrees and as high as 304 degrees Fahrenheit.

A. that
B. it
C. they
D. he",C,,Easy,,,,"Plural pronoun ""they"" agrees with plural antecedent ""animals."""
"With the development of new technologies that use natural resources more efficiently, the overall consumption of those resources might be expected to decrease. Economists have observed that improvements in efficiency often correlate negatively with resource ____ efficiency gains, lowering the cost of use, may increase demand to the extent that resource consumption ultimately rises.

A. conservation, though,
B. conservation; though
C. conservation, though;
D. conservation, though",C,,Hard,,,,"Comma before ""though"" and semicolon after it correctly join the clauses."
"After the printing press was introduced in 1440, handwritten manuscripts from Europe's medieval period were often destroyed and the paper used for other purposes. In one instance, pages ____ a collection of Norse tales dating to 1270 were discovered lining a bishop's miter (hat).

A. from:
B. from,
C. from
D. from",C,,Easy,,,,No punctuation between the preposition and its complement.
"Many mechanical calculators were powered by a notched cylinder mechanism called the Leibniz wheel. Leibniz wheel calculators were popular in the first half of the twentieth ____ these ingenious devices were eventually replaced by electronic calculators.

A. century
B. century,
C. century, but
D. century that",C,,Easy,,,,"Comma + ""but"" joins two main clauses."
"Santa Clara Pueblo artist Roxanne Swentzell's sculpture Mud Woman Rolls On consists of five human figures made of clay and plant fiber and arranged in descending size; each figure holds the smaller one in front of it. The arrangement of the figures, according to ____ represents her idea that ""we all come from the Earth, generation after generation.""

A. Swentzell
B. Swentzell,
C. Swentzell:
D. Swentzell",B,,Medium,,,,"Commas set off the aside ""according to Swentzell."""
"Nine months before Rosa Parks made history by refusing to comply with the segregated seating policy on a Montgomery, Alabama, bus, a fifteen‑year‑old Montgomery girl named Claudette Colvin was arrested for the same ____ to some historians, Colvin's arrest led to Parks's action and eventually to the desegregation of Montgomery's bus system.

A. offense. According
B. offense, according
C. offense according
D. offense and according",A,,Medium,,,,Period separates two independent clauses.
"The first computerized spreadsheet, Dan Bricklin's VisiCalc, improved financial recordkeeping not only by providing users with an easy means of adjusting data in spreadsheets but also by automatically updating all calculations that were dependent on these ____ to VisiCalc's release, changing a paper spreadsheet often required redoing the entire sheet by hand, a process that could take days.

A. adjustments prior
B. adjustments, prior
C. adjustments. Prior
D. adjustments and prior",C,,Medium,,,,Period marks boundary between two sentences.
"It is generally true that technological change is a linear process, in which once‑useful technologies are replaced by new and better ____ the reawakening of interest in the steam engine (from advocates of carbon‑neutral rail travel) reminds us that ostensibly obsolete technologies may be brought back into service to address society's changing needs.

A. ones, even so;
B. ones even so,
C. ones; even so,
D. ones, even so,",C,,Hard,,,,"Semicolon joins two main clauses; ""even so"" modifies the second."
"Along with carbon dioxide concentration and temperature, light intensity affects the chemical reaction rate of ____ as light intensity increases, so does the rate at which the reactants (water and carbon dioxide) are converted into their products (glucose and oxygen).

A. photosynthesis and
B. photosynthesis,
C. photosynthesis:
D. photosynthesis",C,,Hard,,,,Colon marks boundary between two main clauses and introduces the explanation.
